TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
680.001	274.000	1.683	2.822	0.548
680.202	274.000	0.933	2.837	0.512
680.401	274.000	0.972	2.804	0.508
680.602	274.000	7.423	2.825	0.537
680.801	274.000	17.164	2.817	0.515
681.001	274.000	26.899	2.812	0.522
681.201	274.000	36.741	2.817	0.503
681.401	274.000	46.577	2.801	0.520
681.601	274.000	56.261	2.816	0.532
681.801	274.000	66.123	2.798	0.511
682.002	274.000	76.143	2.803	0.535
682.201	274.000	86.062	2.785	0.496
682.402	274.000	90.043	2.786	0.520
682.601	274.000	90.037	2.824	0.531
682.801	274.000	89.796	2.777	0.496
683.002	274.000	82.404	2.809	0.540
683.101	274.000	72.758	2.819	0.519
683.301	274.000	63.964	2.795	0.501
683.501	274.000	53.829	2.827	0.531
683.701	274.000	43.828	2.809	0.516
683.902	274.000	34.036	2.821	0.524
684.101	274.000	23.990	2.835	0.526
684.301	274.000	14.078	2.797	0.499
684.502	274.000	4.318	2.836	0.534
684.701	274.000	0.870	2.826	0.513
684.901	274.000	1.384	2.819	0.526
685.101	274.000	9.887	2.811	0.494
685.301	274.000	20.364	2.808	0.528
685.501	274.000	30.309	2.809	0.519
685.701	274.000	39.954	2.822	0.517
685.801	274.000	48.813	2.791	0.509
686.001	274.000	58.566	2.824	0.506
686.201	274.000	68.523	2.829	0.531
686.401	274.000	78.353	2.804	0.500
686.601	274.000	88.297	2.834	0.519
686.801	274.000	90.037	2.813	0.529
687.002	274.000	90.030	2.852	0.522
687.201	274.000	89.796	2.800	0.500
687.401	274.000	82.404	2.849	0.549
687.603	274.000	71.895	2.820	0.504
687.804	274.000	61.894	2.844	0.534
688.001	274.000	52.102	2.853	0.520
688.201	274.000	42.094	2.817	0.512
688.401	274.000	32.277	2.845	0.511
688.601	274.000	22.384	2.869	0.537
688.802	274.000	12.313	2.845	0.518
689.001	274.000	1.848	2.881	0.505
689.201	274.000	0.895	2.856	0.525
689.402	274.000	0.978	2.898	0.522
689.601	274.000	1.721	2.864	0.491
689.801	274.000	12.192	2.879	0.524
690.001	274.000	21.660	2.856	0.510
690.201	274.000	31.953	2.855	0.526
690.401	274.000	42.640	2.900	0.525
690.601	274.000	52.369	2.874	0.510
690.801	274.000	62.262	2.875	0.513
691.001	274.000	72.384	2.869	0.517
691.201	274.000	86.328	2.856	0.524
691.401	274.000	90.050	2.902	0.516
691.602	274.000	90.043	2.835	0.493
691.801	274.000	86.767	2.889	0.533
692.001	274.000	76.384	2.851	0.513
692.201	274.000	66.339	2.853	0.522
692.401	274.000	56.160	2.846	0.498
692.601	274.000	46.419	2.841	0.519
692.801	274.000	36.525	2.860	0.521
693.001	274.000	26.511	2.836	0.508
693.201	274.000	16.751	2.862	0.540
693.402	274.000	6.902	2.825	0.488
693.601	274.000	0.870	2.846	0.535
693.801	274.000	1.334	2.854	0.534
694.001	274.000	10.008	2.819	0.498
694.201	274.000	20.269	2.822	0.532
694.401	274.000	30.321	2.791	0.516
694.602	274.000	40.875	2.784	0.532
694.801	274.000	50.540	2.824	0.520
695.001	274.000	60.344	2.801	0.515
695.102	274.000	69.050	2.809	0.536
695.301	274.000	79.337	2.820	0.515
695.501	274.000	89.053	2.826	0.508
695.701	274.000	90.113	2.843	0.537
695.901	274.000	90.024	2.876	0.510
696.102	274.000	86.741	2.869	0.526
696.301	274.000	76.270	2.871	0.501
696.501	274.000	66.212	2.869	0.510
696.701	274.000	56.210	2.896	0.542
696.901	274.000	46.330	2.828	0.505
697.101	274.000	36.487	2.866	0.530
697.301	274.000	26.340	2.858	0.509
697.502	274.000	16.472	2.799	0.499
697.702	274.000	6.668	2.853	0.552
697.902	274.000	0.857	2.837	0.499
698.101	274.000	1.353	2.818	0.531
698.302	274.000	9.887	2.811	0.515
698.501	274.000	20.282	2.801	0.520
698.701	274.000	30.779	2.833	0.515
698.901	274.000	40.526	2.842	0.523
699.102	274.000	50.318	2.806	0.511
699.202	274.000	59.271	2.852	0.506
699.401	274.000	68.809	2.841	0.526
699.601	274.000	78.600	2.802	0.518
699.801	274.000	88.621	2.844	0.524
700.002	274.000	90.030	2.821	0.517
700.201	274.000	90.024	2.843	0.522
700.401	274.000	86.773	2.818	0.509
700.601	274.000	76.740	2.811	0.509
700.801	274.000	66.707	2.857	0.514
701.001	274.000	56.699	2.861	0.542
701.202	274.000	46.888	2.840	0.491
701.402	274.000	37.179	2.863	0.527
701.602	274.000	27.235	2.866	0.535
701.802	274.000	16.554	2.867	0.501
702.002	274.000	7.156	2.852	0.522
702.202	274.000	0.870	2.878	0.528
702.401	274.000	1.689	2.838	0.502
702.501	274.000	9.728	2.859	0.517
702.701	274.000	20.072	2.852	0.519
702.901	274.000	29.921	2.831	0.505
703.101	274.000	39.307	2.886	0.532
703.301	274.000	49.498	2.849	0.500
703.501	274.000	59.227	2.870	0.518
703.702	274.000	68.701	2.890	0.531
703.901	274.000	79.058	2.870	0.501
704.102	274.000	88.824	2.896	0.542
704.302	274.000	90.056	2.867	0.492
704.501	274.000	90.043	2.863	0.535
704.702	274.000	87.471	2.870	0.519
704.902	274.000	76.588	2.861	0.527
705.101	274.000	66.681	2.855	0.518
705.302	274.000	56.674	2.848	0.498
705.501	274.000	45.885	2.876	0.549
705.701	274.000	36.519	2.863	0.507
705.901	274.000	25.572	2.874	0.509
706.101	274.000	15.500	2.868	0.531
706.302	274.000	1.778	2.854	0.491
706.501	274.000	0.902	2.888	0.546
706.701	274.000	0.978	2.867	0.496
706.901	274.000	4.121	2.862	0.510
707.101	274.000	15.157	2.847	0.508
707.301	274.000	25.756	2.886	0.536
707.501	274.000	35.662	2.852	0.530
707.701	274.000	45.530	2.862	0.498
707.901	274.000	55.061	2.845	0.517
708.101	274.000	64.846	2.861	0.534
708.302	274.000	74.930	2.876	0.514
708.502	274.000	84.957	2.864	0.530
708.702	274.000	89.999	2.861	0.506
708.902	274.000	90.005	2.858	0.520
709.101	274.000	89.586	2.850	0.526
709.301	274.000	80.874	2.859	0.507
709.501	274.000	70.257	2.820	0.490
709.702	274.000	60.001	2.866	0.541
709.901	274.000	50.597	2.800	0.510
710.101	274.000	40.513	2.848	0.529
710.301	274.000	30.417	2.837	0.516
710.502	274.000	20.803	2.800	0.506
710.701	274.000	10.662	2.828	0.535
710.902	274.000	1.327	2.782	0.529
711.002	274.000	0.895	2.751	0.504
711.201	274.000	0.978	2.785	0.528
711.401	274.000	1.365	2.772	0.494
711.601	274.000	10.046	2.769	0.535
711.801	274.000	20.371	2.786	0.519
712.001	274.000	30.499	2.768	0.523
712.201	274.000	40.005	2.784	0.530
712.401	274.000	50.102	2.806	0.520
712.602	274.000	60.058	2.815	0.528
712.802	274.000	69.666	2.774	0.487
713.001	274.000	79.763	2.785	0.545
