TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
293.221	274.000	87.789	4.204	0.485
293.421	274.000	77.318	4.233	0.526
293.621	274.000	66.980	4.242	0.511
293.821	274.000	53.448	4.225	0.520
294.021	274.000	43.428	4.239	0.502
294.221	274.000	34.112	4.227	0.512
294.421	274.000	24.556	4.233	0.515
294.621	274.000	15.138	4.256	0.505
294.821	274.000	5.759	4.245	0.528
295.021	274.000	0.895	4.246	0.482
295.121	274.000	1.137	4.253	0.519
295.321	274.000	7.950	4.279	0.516
295.521	274.000	17.234	4.273	0.510
295.721	274.000	26.537	4.278	0.519
295.921	274.000	36.043	4.291	0.496
296.121	274.000	46.425	4.278	0.504
296.321	274.000	56.642	4.284	0.498
296.521	274.000	66.999	4.290	0.505
296.721	274.000	76.207	4.288	0.531
296.921	274.000	86.633	4.287	0.478
297.121	274.000	90.069	4.273	0.526
297.321	274.000	87.256	4.311	0.498
297.521	274.000	76.194	4.281	0.523
297.721	274.000	66.891	4.297	0.514
297.921	274.000	56.941	4.246	0.480
298.121	274.000	47.371	4.306	0.543
298.321	274.000	38.303	4.275	0.499
298.521	274.000	28.670	4.267	0.511
298.722	274.000	18.428	4.276	0.511
298.922	274.000	7.931	4.215	0.498
299.121	274.000	0.864	4.208	0.522
299.321	274.000	0.921	4.152	0.501
299.521	274.000	6.979	4.111	0.502
299.721	274.000	17.266	4.154	0.510
299.921	274.000	26.727	4.133	0.515
300.121	274.000	35.770	4.190	0.516
300.321	274.000	45.555	4.196	0.504
300.521	274.000	54.959	4.232	0.511
300.721	274.000	65.056	4.255	0.506
300.921	274.000	75.254	4.219	0.530
301.121	274.000	85.179	4.209	0.495
301.221	274.000	90.126	4.162	0.522
301.421	274.000	90.056	4.159	0.505
301.621	274.000	84.735	4.196	0.522
301.821	274.000	75.013	4.190	0.501
302.021	274.000	65.894	4.264	0.543
302.221	274.000	56.160	4.209	0.485
302.421	274.000	46.558	4.270	0.536
302.621	274.000	36.551	4.251	0.494
302.821	274.000	26.410	4.230	0.501
303.021	274.000	16.142	4.275	0.527
303.221	274.000	5.759	4.237	0.509
303.421	274.000	0.883	4.240	0.497
303.621	274.000	2.991	4.264	0.511
303.821	274.000	13.125	4.252	0.513
304.021	274.000	22.352	4.289	0.521
304.221	274.000	31.852	4.237	0.477
304.421	274.000	42.209	4.297	0.540
304.621	274.000	51.207	4.255	0.485
304.721	274.000	60.097	4.274	0.522
304.921	274.000	69.450	4.284	0.516
305.121	274.000	79.020	4.264	0.506
305.321	274.000	88.570	4.269	0.523
305.521	274.000	90.107	4.264	0.491
305.721	274.000	90.037	4.254	0.511
305.921	274.000	84.677	4.260	0.513
306.121	274.000	74.327	4.256	0.492
306.321	274.000	63.799	4.288	0.539
306.521	274.000	54.655	4.239	0.476
306.721	274.000	44.323	4.254	0.513
306.921	274.000	30.766	4.269	0.511
307.121	274.000	20.441	4.243	0.499
307.321	274.000	10.027	4.258	0.510
307.521	274.000	1.568	4.262	0.505
307.721	274.000	0.902	4.248	0.514
307.923	274.000	3.524	4.265	0.509
308.121	274.000	13.189	4.250	0.504
308.321	274.000	23.139	4.247	0.518
308.521	274.000	33.687	4.253	0.486
308.721	274.000	44.120	4.243	0.531
308.921	274.000	57.372	4.262	0.496
309.121	274.000	67.850	4.221	0.499
309.321	274.000	76.930	4.260	0.521
309.521	274.000	86.817	4.238	0.504
309.721	274.000	90.107	4.245	0.499
309.921	274.000	89.827	4.249	0.511
310.121	274.000	82.912	4.239	0.486
310.321	274.000	73.190	4.255	0.529
310.521	274.000	62.611	4.215	0.477
310.721	274.000	52.534	4.242	0.529
310.921	274.000	43.186	4.221	0.501
311.121	274.000	32.804	4.187	0.497
311.321	274.000	19.412	4.239	0.533
311.521	274.000	9.042	4.171	0.480
311.721	274.000	0.921	4.186	0.518
311.921	274.000	0.921	4.194	0.506
312.121	274.000	5.944	4.204	0.501
312.321	274.000	15.418	4.208	0.521
312.521	274.000	24.498	4.188	0.479
312.621	274.000	33.255	4.217	0.547
312.821	274.000	42.355	4.238	0.523
313.021	274.000	51.657	4.195	0.490
313.221	274.000	61.157	4.217	0.520
313.421	274.000	70.536	4.242	0.506
313.621	274.000	80.829	4.215	0.503
313.821	274.000	89.719	4.231	0.516
313.921	274.000	90.094	4.220	0.510
314.121	274.000	90.030	4.192	0.508
314.321	274.000	84.785	4.208	0.512
314.521	274.000	75.260	4.215	0.500
314.721	274.000	66.142	4.225	0.525
314.921	274.000	56.452	4.250	0.527
315.121	274.000	46.190	4.209	0.482
315.321	274.000	35.801	4.248	0.532
315.522	274.000	25.718	4.213	0.492
315.721	274.000	12.567	4.211	0.516
315.921	274.000	2.997	4.256	0.532
316.121	274.000	0.883	4.207	0.476
316.321	274.000	1.238	4.245	0.534
316.521	274.000	9.214	4.178	0.493
316.721	274.000	18.961	4.204	0.499
316.921	274.000	29.159	4.262	0.523
317.121	274.000	39.421	4.229	0.483
317.321	274.000	49.333	4.272	0.529
317.521	274.000	62.370	4.293	0.498
317.721	274.000	73.012	4.235	0.515
317.921	274.000	82.696	4.276	0.501
318.121	274.000	90.100	4.245	0.501
318.321	274.000	90.069	4.278	0.527
318.521	274.000	84.709	4.266	0.492
318.721	274.000	75.013	4.234	0.502
318.921	274.000	65.913	4.233	0.499
319.121	274.000	55.575	4.243	0.517
319.321	274.000	45.180	4.221	0.519
319.521	274.000	34.919	4.261	0.497
319.721	274.000	23.539	4.224	0.500
319.921	274.000	12.764	4.263	0.522
320.121	274.000	4.394	4.266	0.499
320.321	274.000	0.857	4.268	0.525
320.521	274.000	3.137	4.248	0.506
320.621	274.000	9.322	4.274	0.533
320.821	274.000	19.266	4.240	0.501
321.021	274.000	30.340	4.243	0.498
321.221	274.000	39.237	4.212	0.499
321.321	274.000	44.793	4.212	0.539
321.521	274.000	55.017	4.200	0.506
321.721	274.000	64.865	4.185	0.485
321.921	274.000	75.552	4.214	0.547
322.121	274.000	86.005	4.164	0.473
322.321	274.000	90.062	4.146	0.522
322.521	274.000	83.909	4.138	0.507
322.721	274.000	74.829	4.174	0.538
322.921	274.000	64.738	4.125	0.514
323.121	274.000	53.556	4.189	0.506
323.321	274.000	44.482	4.146	0.501
323.521	274.000	33.788	4.189	0.520
323.721	274.000	23.501	4.236	0.507
323.921	274.000	13.570	4.225	0.530
324.121	274.000	3.727	4.229	0.494
324.321	274.000	1.727	4.235	0.525
324.521	274.000	11.252	4.218	0.496
324.621	274.000	17.380	4.240	0.535
