TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
596.214	274.000	90.157	2.880	0.573
596.414	274.000	90.056	2.856	0.564
596.614	274.000	85.630	2.885	0.562
596.814	274.000	79.832	2.878	0.559
597.014	274.000	71.368	2.877	0.552
597.214	274.000	65.494	2.874	0.567
597.414	274.000	59.417	2.892	0.558
597.614	274.000	53.581	2.882	0.548
597.814	274.000	47.803	2.870	0.535
598.014	274.000	42.456	2.866	0.554
598.214	274.000	36.582	2.892	0.571
598.414	274.000	30.569	2.885	0.552
598.614	274.000	24.365	2.891	0.542
598.814	274.000	18.332	2.854	0.540
599.014	274.000	12.795	2.876	0.569
599.214	274.000	4.674	2.885	0.573
599.414	274.000	0.851	2.884	0.543
599.614	274.000	0.927	2.870	0.542
599.813	274.000	0.984	2.849	0.523
600.014	274.000	4.502	2.874	0.564
600.214	274.000	10.585	2.868	0.547
600.414	274.000	16.751	2.883	0.556
600.614	274.000	22.638	2.867	0.545
600.814	274.000	28.715	2.875	0.564
600.914	274.000	33.896	2.867	0.556
601.114	274.000	39.402	2.875	0.551
601.314	274.000	44.964	2.888	0.551
601.514	274.000	50.476	2.867	0.551
601.714	274.000	56.725	2.868	0.553
601.914	274.000	62.617	2.878	0.569
602.114	274.000	68.771	2.896	0.545
602.314	274.000	74.873	2.872	0.551
602.514	274.000	80.639	2.882	0.556
602.714	274.000	88.799	2.880	0.557
602.914	274.000	90.030	2.898	0.548
603.113	274.000	90.024	2.892	0.544
603.316	274.000	86.271	2.888	0.538
603.514	274.000	80.404	2.882	0.556
603.716	274.000	74.759	2.910	0.565
603.914	274.000	68.980	2.892	0.536
604.116	274.000	63.100	2.887	0.533
604.315	274.000	57.080	2.881	0.560
604.514	274.000	50.959	2.899	0.560
604.714	274.000	44.812	2.915	0.568
604.914	274.000	38.506	2.895	0.533
605.114	274.000	30.537	2.889	0.554
605.314	274.000	24.219	2.897	0.555
605.514	274.000	18.828	2.917	0.559
605.714	274.000	12.948	2.922	0.556
605.914	274.000	7.220	2.903	0.538
606.114	274.000	1.880	2.904	0.557
606.313	274.000	0.895	2.894	0.552
606.514	274.000	4.642	2.926	0.567
606.614	274.000	9.728	2.956	0.589
606.814	274.000	15.462	2.899	0.526
607.014	274.000	21.253	2.908	0.544
607.214	274.000	26.651	2.894	0.548
607.414	274.000	32.277	2.942	0.563
607.514	274.000	37.344	2.910	0.528
607.714	274.000	42.920	2.913	0.532
607.914	274.000	48.470	2.912	0.556
608.114	274.000	54.153	2.926	0.567
608.314	274.000	59.608	2.932	0.560
608.414	274.000	64.802	2.896	0.528
608.614	274.000	70.453	2.921	0.547
608.814	274.000	76.213	2.915	0.561
609.014	274.000	81.833	2.923	0.565
609.214	274.000	87.592	2.919	0.549
609.414	274.000	90.037	2.924	0.542
609.614	274.000	90.030	2.913	0.535
609.714	274.000	89.802	2.921	0.546
609.914	274.000	85.084	2.903	0.558
610.115	274.000	79.216	2.924	0.571
610.316	274.000	73.520	2.920	0.556
610.514	274.000	67.844	2.918	0.540
610.714	274.000	61.982	2.905	0.558
610.914	274.000	55.747	2.910	0.551
611.114	274.000	49.594	2.925	0.555
611.314	274.000	44.050	2.908	0.534
611.514	274.000	37.764	2.901	0.556
611.714	274.000	29.718	2.903	0.567
611.914	274.000	23.425	2.916	0.564
612.114	274.000	17.342	2.915	0.543
612.314	274.000	11.722	2.883	0.541
612.514	274.000	5.975	2.883	0.551
612.714	274.000	0.832	2.892	0.566
612.913	274.000	0.921	2.909	0.554
613.114	274.000	4.642	2.905	0.559
613.214	274.000	9.550	2.854	0.525
613.414	274.000	15.196	2.898	0.549
613.614	274.000	21.044	2.875	0.562
613.814	274.000	26.657	2.898	0.558
614.014	274.000	32.417	2.873	0.545
614.214	274.000	38.481	2.875	0.548
614.414	274.000	44.545	2.871	0.564
614.614	274.000	52.845	2.898	0.571
614.814	274.000	59.081	2.881	0.549
615.014	274.000	64.427	2.887	0.555
615.214	274.000	70.422	2.842	0.537
615.414	274.000	76.143	2.872	0.571
615.614	274.000	81.801	2.868	0.558
615.814	274.000	87.573	2.883	0.566
616.014	274.000	90.119	2.863	0.523
616.214	274.000	89.853	2.869	0.554
616.314	274.000	85.439	2.850	0.563
616.514	274.000	79.585	2.862	0.552
616.714	274.000	73.952	2.875	0.555
616.914	274.000	68.015	2.850	0.532
617.114	274.000	62.090	2.856	0.555
617.314	274.000	56.687	2.865	0.566
617.514	274.000	50.826	2.880	0.566
617.714	274.000	44.520	2.875	0.559
617.914	274.000	38.265	2.859	0.536
618.114	274.000	32.722	2.850	0.552
618.314	274.000	26.473	2.848	0.563
618.514	274.000	20.625	2.887	0.559
618.714	274.000	12.484	2.874	0.549
618.914	274.000	5.772	2.870	0.541
619.114	274.000	0.876	2.853	0.556
619.314	274.000	0.914	2.865	0.550
619.514	274.000	3.143	2.892	0.576
619.714	274.000	9.144	2.870	0.547
619.914	274.000	14.681	2.872	0.563
620.014	274.000	19.888	2.869	0.549
620.214	274.000	25.229	2.894	0.571
