TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
221.468	274.000	72.066	2.903	0.457
221.668	274.000	82.582	2.893	0.494
221.867	274.000	90.043	2.917	0.491
222.067	274.000	89.815	2.900	0.485
222.267	274.000	82.868	2.901	0.493
222.467	274.000	73.152	2.865	0.470
222.667	274.000	63.735	2.897	0.500
222.867	274.000	53.486	2.874	0.485
223.067	274.000	43.009	2.874	0.474
223.267	274.000	33.452	2.881	0.480
223.467	274.000	23.260	2.907	0.509
223.667	274.000	9.119	2.873	0.460
223.867	274.000	1.137	2.894	0.495
224.067	274.000	0.921	2.884	0.486
224.267	274.000	3.499	2.893	0.495
224.467	274.000	13.106	2.879	0.479
224.667	274.000	23.076	2.865	0.488
224.767	274.000	32.080	2.895	0.477
224.967	274.000	41.205	2.880	0.481
225.167	274.000	50.502	2.897	0.489
225.367	274.000	60.135	2.877	0.486
225.567	274.000	69.514	2.894	0.494
225.767	274.000	79.089	2.843	0.480
225.867	274.000	87.998	2.868	0.522
226.068	274.000	90.043	2.868	0.469
226.267	274.000	90.037	2.841	0.482
226.467	274.000	87.262	2.879	0.490
226.667	274.000	77.457	2.867	0.496
226.867	274.000	67.951	2.871	0.484
227.067	274.000	58.204	2.871	0.465
227.167	274.000	49.854	2.914	0.540
227.367	274.000	40.126	2.893	0.478
227.567	274.000	30.499	2.863	0.470
227.767	274.000	21.546	2.915	0.498
227.967	274.000	11.779	2.878	0.482
228.168	274.000	1.854	2.907	0.477
228.367	274.000	0.921	2.883	0.485
228.567	274.000	1.162	2.919	0.497
228.767	274.000	12.649	2.898	0.483
228.967	274.000	21.927	2.896	0.487
229.167	274.000	32.258	2.878	0.468
229.367	274.000	41.783	2.901	0.504
229.567	274.000	50.737	2.905	0.487
229.767	274.000	60.535	2.874	0.485
229.967	274.000	70.187	2.901	0.476
230.167	274.000	80.417	2.881	0.503
230.367	274.000	89.472	2.900	0.479
230.467	274.000	90.037	2.872	0.463
230.667	274.000	89.796	2.895	0.504
230.867	274.000	82.849	2.899	0.486
231.067	274.000	72.784	2.863	0.476
231.267	274.000	63.430	2.908	0.482
231.467	274.000	54.070	2.911	0.504
231.667	274.000	44.406	2.933	0.487
231.867	274.000	33.985	2.924	0.475
232.067	274.000	23.768	2.938	0.501
232.267	274.000	13.653	2.926	0.466
232.467	274.000	3.931	2.952	0.504
232.667	274.000	0.870	2.930	0.473
232.867	274.000	3.600	2.942	0.493
233.067	274.000	14.402	2.936	0.479
233.267	274.000	23.539	2.938	0.500
233.468	274.000	33.433	2.931	0.491
233.667	274.000	42.920	2.892	0.469
233.867	274.000	52.108	2.931	0.503
234.067	274.000	62.592	2.907	0.492
234.267	274.000	72.289	2.902	0.485
234.367	274.000	80.785	2.906	0.471
234.567	274.000	89.789	2.899	0.497
234.767	274.000	90.081	2.889	0.480
234.967	274.000	89.834	2.885	0.483
235.167	274.000	82.830	2.862	0.485
235.367	274.000	73.057	2.869	0.485
235.567	274.000	63.424	2.840	0.481
235.767	274.000	54.026	2.857	0.477
235.867	274.000	45.168	2.832	0.490
236.067	274.000	36.049	2.826	0.492
236.267	274.000	26.194	2.827	0.462
236.467	274.000	16.548	2.828	0.520
236.667	274.000	7.455	2.820	0.467
236.867	274.000	0.902	2.802	0.475
236.967	274.000	0.927	2.854	0.511
237.167	274.000	0.972	2.803	0.469
237.367	274.000	6.261	2.810	0.482
237.568	274.000	15.411	2.836	0.490
237.767	274.000	24.549	2.829	0.497
237.967	274.000	35.046	2.852	0.482
238.167	274.000	44.622	2.827	0.475
238.267	274.000	52.915	2.875	0.535
238.467	274.000	62.687	2.850	0.482
238.668	274.000	72.536	2.804	0.475
238.868	274.000	81.712	2.862	0.500
239.067	274.000	90.037	2.817	0.478
239.267	274.000	90.069	2.824	0.479
239.467	274.000	89.815	2.818	0.485
239.667	274.000	82.258	2.821	0.489
239.867	274.000	72.079	2.840	0.492
239.967	274.000	63.513	2.786	0.458
240.167	274.000	54.020	2.818	0.495
240.367	274.000	44.482	2.820	0.476
240.567	274.000	35.020	2.790	0.495
240.767	274.000	25.521	2.797	0.471
240.967	274.000	15.970	2.788	0.493
241.168	274.000	5.417	2.814	0.498
241.368	274.000	0.889	2.771	0.460
241.567	274.000	1.130	2.819	0.501
241.767	274.000	8.579	2.838	0.474
241.967	274.000	21.692	2.838	0.495
242.168	274.000	32.245	2.832	0.479
242.367	274.000	41.694	2.782	0.477
242.568	274.000	50.591	2.818	0.494
242.767	274.000	60.331	2.805	0.488
242.968	274.000	69.958	2.819	0.488
243.167	274.000	80.055	2.801	0.468
243.367	274.000	89.281	2.794	0.502
243.467	274.000	90.024	2.823	0.499
243.667	274.000	89.808	2.776	0.468
243.867	274.000	82.957	2.781	0.497
244.067	274.000	73.235	2.799	0.506
244.267	274.000	63.792	2.750	0.489
244.467	274.000	54.299	2.717	0.470
244.667	274.000	44.590	2.666	0.492
244.867	274.000	34.061	2.691	0.504
245.067	274.000	23.984	2.716	0.473
245.267	274.000	14.516	2.749	0.509
245.467	274.000	4.051	2.747	0.463
245.667	274.000	0.908	2.769	0.503
245.867	274.000	3.645	2.757	0.484
246.069	274.000	13.329	2.757	0.491
246.269	274.000	22.746	2.784	0.490
246.467	274.000	32.366	2.864	0.481
246.669	274.000	42.882	2.885	0.515
246.869	274.000	51.956	2.861	0.462
247.067	274.000	62.319	2.827	0.487
247.267	274.000	72.028	2.838	0.501
247.467	274.000	82.715	2.783	0.476
247.668	274.000	90.056	2.840	0.499
247.867	274.000	90.050	2.822	0.468
248.067	274.000	83.668	2.824	0.508
248.267	274.000	74.124	2.802	0.494
248.467	274.000	63.310	2.770	0.475
248.667	274.000	54.388	2.748	0.502
248.867	274.000	44.704	2.669	0.469
249.067	274.000	35.058	2.634	0.500
249.267	274.000	26.041	2.646	0.491
249.467	274.000	16.237	2.617	0.480
249.567	274.000	7.620	2.688	0.501
249.767	274.000	0.914	2.679	0.486
249.968	274.000	0.927	2.664	0.489
250.167	274.000	1.270	2.710	0.494
250.367	274.000	9.398	2.736	0.496
250.567	274.000	19.425	2.777	0.492
250.667	274.000	27.896	2.757	0.444
250.867	274.000	37.344	2.771	0.491
251.067	274.000	46.971	2.837	0.498
251.267	274.000	56.350	2.776	0.462
251.467	274.000	65.780	2.774	0.507
251.668	274.000	75.546	2.798	0.489
251.867	274.000	86.176	2.767	0.492
252.067	274.000	90.088	2.845	0.481
252.267	274.000	90.043	2.825	0.490
252.467	274.000	84.633	2.865	0.496
252.667	274.000	74.054	2.871	0.463
252.867	274.000	60.331	2.878	0.504
253.067	274.000	51.264	2.846	0.484
253.267	274.000	40.754	2.781	0.470
253.467	274.000	31.064	2.806	0.512
253.667	274.000	21.761	2.763	0.465
253.867	274.000	12.344	2.744	0.486
254.067	274.000	2.889	2.769	0.497
254.267	274.000	0.889	2.751	0.487
254.467	274.000	1.105	2.758	0.488
254.567	274.000	7.372	2.770	0.496
254.767	274.000	16.745	2.774	0.493
254.967	274.000	26.029	2.787	0.494
255.167	274.000	35.732	2.759	0.463
255.367	274.000	45.187	2.760	0.499
255.567	274.000	55.296	2.784	0.486
255.767	274.000	64.599	2.754	0.489
255.867	274.000	73.762	2.755	0.486
256.067	274.000	82.785	2.755	0.498
256.268	274.000	90.107	2.677	0.483
256.467	274.000	90.069	2.671	0.489
256.667	274.000	89.834	2.686	0.484
256.867	274.000	82.874	2.701	0.489
257.067	274.000	73.197	2.737	0.496
257.267	274.000	62.668	2.683	0.486
257.467	274.000	52.578	2.700	0.488
257.667	274.000	43.275	2.702	0.486
257.867	274.000	32.798	2.709	0.507
258.067	274.000	19.552	2.684	0.469
258.267	274.000	9.176	2.639	0.487
258.467	274.000	1.213	2.632	0.492
258.667	274.000	0.933	2.657	0.473
258.867	274.000	3.600	2.687	0.497
259.067	274.000	14.319	2.705	0.480
259.267	274.000	23.451	2.675	0.495
259.367	274.000	32.220	2.732	0.523
259.567	274.000	41.504	2.696	0.460
259.767	274.000	50.927	2.706	0.499
259.967	274.000	60.433	2.704	0.496
260.167	274.000	69.774	2.670	0.480
260.367	274.000	79.255	2.702	0.508
260.467	274.000	88.164	2.708	0.491
260.667	274.000	90.075	2.692	0.464
260.867	274.000	90.043	2.699	0.493
261.067	274.000	87.351	2.715	0.490
261.267	274.000	77.311	2.673	0.482
261.468	274.000	67.824	2.685	0.489
261.667	274.000	58.312	2.655	0.485
261.867	274.000	47.822	2.613	0.496
261.967	274.000	39.611	2.653	0.498
262.167	274.000	30.137	2.624	0.469
262.367	274.000	20.752	2.609	0.512
262.567	274.000	11.227	2.616	0.474
262.767	274.000	2.121	2.610	0.503
262.967	274.000	0.889	2.608	0.482
263.167	274.000	1.245	2.605	0.479
263.367	274.000	10.065	2.595	0.488
263.567	274.000	23.139	2.634	0.496
263.767	274.000	33.706	2.601	0.486
263.967	274.000	42.996	2.613	0.491
264.167	274.000	52.413	2.607	0.478
264.367	274.000	61.722	2.599	0.506
264.568	274.000	71.184	2.622	0.484
264.768	274.000	81.731	2.584	0.479
264.968	274.000	90.094	2.589	0.489
265.167	274.000	90.069	2.602	0.492
265.367	274.000	83.814	2.571	0.486
265.568	274.000	74.200	2.597	0.495
265.767	274.000	63.583	2.566	0.461
265.967	274.000	53.607	2.615	0.507
266.167	274.000	40.418	2.622	0.482
266.367	274.000	30.836	2.601	0.485
266.567	274.000	20.606	2.627	0.504
266.767	274.000	11.189	2.574	0.467
266.968	274.000	2.045	2.602	0.503
267.167	274.000	0.889	2.622	0.490
267.367	274.000	1.264	2.589	0.475
267.467	274.000	8.509	2.610	0.483
267.667	274.000	18.225	2.623	0.488
267.867	274.000	27.477	2.613	0.474
268.068	274.000	36.786	2.614	0.502
268.267	274.000	46.304	2.590	0.470
268.467	274.000	56.629	2.595	0.506
268.667	274.000	66.561	2.593	0.485
268.867	274.000	76.854	2.557	0.467
269.067	274.000	87.363	2.569	0.513
269.267	274.000	90.113	2.570	0.491
269.467	274.000	89.732	2.545	0.483
269.667	274.000	76.143	2.562	0.492
269.867	274.000	66.935	2.539	0.480
270.067	274.000	57.144	2.532	0.492
270.267	274.000	47.403	2.573	0.494
270.467	274.000	38.399	2.528	0.485
270.667	274.000	28.620	2.543	0.480
270.867	274.000	19.018	2.560	0.476
270.967	274.000	10.636	2.542	0.495
271.167	274.000	1.607	2.550	0.489
271.367	274.000	0.908	2.559	0.480
271.567	274.000	0.959	2.547	0.488
271.768	274.000	6.172	2.565	0.504
271.968	274.000	15.958	2.555	0.484
272.169	274.000	26.372	2.559	0.490
272.368	274.000	36.487	2.588	0.492
272.568	274.000	49.740	2.570	0.485
272.769	274.000	60.166	2.582	0.496
272.967	274.000	69.876	2.567	0.469
273.167	274.000	79.394	2.574	0.500
273.367	274.000	88.735	2.601	0.485
273.567	274.000	90.050	2.583	0.484
273.767	274.000	89.694	2.574	0.493
273.967	274.000	81.496	2.578	0.483
274.167	274.000	71.292	2.578	0.490
274.267	274.000	62.535	2.590	0.517
274.467	274.000	53.092	2.581	0.482
274.667	274.000	43.593	2.547	0.477
274.867	274.000	34.131	2.587	0.520
275.067	274.000	24.721	2.554	0.471
275.267	274.000	15.132	2.542	0.487
275.467	274.000	4.610	2.568	0.502
275.667	274.000	0.864	2.549	0.485
275.867	274.000	1.086	2.540	0.492
276.068	274.000	8.566	2.546	0.481
276.269	274.000	18.479	2.523	0.481
276.468	274.000	28.778	2.546	0.499
276.668	274.000	42.183	2.549	0.482
276.868	274.000	52.235	2.524	0.495
277.068	274.000	62.402	2.539	0.483
277.267	274.000	72.314	2.521	0.481
277.467	274.000	82.017	2.526	0.503
277.667	274.000	89.954	2.549	0.484
277.867	274.000	90.056	2.505	0.476
278.067	274.000	87.249	2.531	0.507
278.267	274.000	77.254	2.519	0.481
278.467	274.000	66.923	2.508	0.503
278.667	274.000	57.061	2.526	0.499
278.767	274.000	48.432	2.483	0.459
278.967	274.000	38.843	2.498	0.490
279.167	274.000	29.305	2.527	0.507
279.367	274.000	19.888	2.520	0.450
279.567	274.000	10.554	2.540	0.504
279.767	274.000	1.454	2.556	0.494
279.967	274.000	0.927	2.527	0.472
280.067	274.000	0.953	2.549	0.515
280.267	274.000	6.185	2.553	0.484
280.467	274.000	15.424	2.559	0.484
280.667	274.000	24.606	2.552	0.499
280.867	274.000	34.296	2.547	0.473
281.067	274.000	44.387	2.532	0.496
281.267	274.000	54.782	2.527	0.516
429.968	258.992	57.823	1.968	0.504
430.067	258.992	49.371	1.933	0.463
430.267	258.992	39.751	1.938	0.472
430.467	258.992	30.296	1.968	0.500
430.668	258.992	20.923	1.991	0.507
430.867	258.992	11.335	2.003	0.483
431.068	258.992	1.454	1.982	0.483
431.268	258.992	0.959	1.954	0.475
431.368	258.992	0.959	1.947	0.491
431.567	258.992	1.321	1.955	0.506
431.767	258.992	9.322	1.970	0.495
431.967	258.992	19.145	1.938	0.494
432.167	258.992	28.747	1.930	0.470
432.367	258.992	38.786	1.938	0.513
432.567	258.992	49.016	1.932	0.484
432.767	258.992	58.763	1.938	0.496
432.868	258.992	67.355	1.928	0.485
433.067	258.992	77.007	1.907	0.467
433.268	258.992	86.805	1.929	0.503
433.468	258.992	90.107	1.928	0.492
433.667	258.992	90.043	1.957	0.498
433.868	258.992	84.601	1.963	0.476
434.067	258.992	74.771	1.969	0.496
434.267	258.992	65.659	1.953	0.486
434.467	258.992	55.118	2.009	0.513
434.668	258.992	44.653	2.020	0.482
434.867	258.992	34.398	2.035	0.468
435.068	258.992	23.863	2.034	0.497
435.267	258.992	14.821	2.042	0.491
435.468	258.992	4.432	2.068	0.515
435.668	258.992	0.908	2.040	0.466
435.867	258.992	4.642	2.060	0.482
436.067	258.992	15.132	2.066	0.484
436.267	258.992	24.625	2.121	0.504
436.468	258.992	34.195	2.141	0.507
436.668	258.992	43.745	2.135	0.475
436.867	258.992	53.092	2.096	0.467
437.067	258.992	62.465	2.067	0.488
437.168	258.992	71.507	2.089	0.502
437.367	258.992	80.766	2.089	0.514
437.568	258.992	89.732	2.051	0.473
437.768	258.992	90.037	2.039	0.478
437.967	258.992	89.796	2.018	0.495
438.168	258.992	82.747	2.023	0.487
438.367	258.992	72.968	2.030	0.505
438.567	258.992	63.468	2.023	0.472
438.768	258.992	53.397	1.990	0.472
438.967	258.992	42.888	1.972	0.487
439.167	258.992	33.306	1.968	0.503
439.367	258.992	22.752	2.018	0.508
439.567	258.992	12.802	2.009	0.472
439.767	258.992	0.978	2.003	0.479
439.968	258.992	0.921	1.983	0.501
440.167	258.992	6.052	1.995	0.500
440.367	258.992	15.323	1.984	0.504
440.567	258.992	24.492	2.009	0.479
440.768	258.992	34.309	2.001	0.475
440.967	258.992	44.539	2.007	0.495
441.167	258.992	54.902	2.007	0.497
441.367	258.992	64.935	2.146	0.502
441.567	258.992	74.448	2.110	0.477
441.768	258.992	88.081	2.095	0.471
441.968	258.992	90.050	2.106	0.498
442.167	258.992	89.662	2.063	0.496
442.367	258.992	81.541	2.032	0.479
442.568	258.992	71.444	2.018	0.483
442.768	258.992	61.576	1.971	0.478
442.967	258.992	52.629	1.991	0.510
443.167	258.992	43.009	1.973	0.502
443.267	258.992	34.519	1.970	0.472
443.468	258.992	25.121	2.022	0.492
443.668	258.992	15.488	1.967	0.464
443.868	258.992	6.052	1.992	0.496
444.068	258.992	0.965	1.982	0.505
444.168	258.992	0.959	2.023	0.517
444.367	258.992	1.187	2.017	0.477
444.568	258.992	7.995	2.005	0.474
444.767	258.992	17.367	2.014	0.493
444.967	258.992	26.746	2.021	0.501
445.167	258.992	36.119	2.050	0.493
445.267	258.992	44.831	2.075	0.486
445.467	258.992	53.829	2.066	0.478
445.667	258.992	63.494	2.050	0.473
445.868	258.992	73.241	2.061	0.504
446.068	258.992	82.410	2.072	0.505
446.268	258.992	90.050	2.082	0.487
446.368	258.992	90.050	2.070	0.488
446.567	258.992	90.030	2.044	0.467
446.767	258.992	84.703	2.040	0.498
446.967	258.992	75.013	2.051	0.493
447.168	258.992	65.900	2.043	0.500
447.367	258.992	56.128	2.023	0.465
447.568	258.992	46.507	2.015	0.489
447.768	258.992	36.233	1.991	0.478
447.968	258.992	26.708	2.019	0.515
448.068	258.992	17.812	1.992	0.495
448.268	258.992	8.801	1.998	0.477
448.468	258.992	0.946	1.992	0.491
448.667	258.992	0.927	1.946	0.463
448.868	258.992	1.162	2.013	0.505
449.067	258.992	8.522	2.031	0.487
449.268	258.992	18.739	2.000	0.489
449.468	258.992	28.366	1.957	0.479
449.667	258.992	42.532	1.920	0.489
449.868	258.992	52.851	1.947	0.498
450.068	258.992	61.868	1.965	0.503
450.267	258.992	71.679	2.088	0.490
450.467	258.992	81.344	2.029	0.468
450.668	258.992	89.624	2.051	0.486
450.867	258.992	90.011	2.082	0.504
451.068	258.992	87.325	2.078	0.479
451.168	258.992	78.372	2.058	0.512
451.367	258.992	68.567	2.034	0.471
451.568	258.992	58.960	2.025	0.480
451.768	258.992	49.886	2.019	0.477
451.967	258.992	40.189	2.036	0.507
452.168	258.992	30.575	2.045	0.500
452.368	258.992	20.530	2.058	0.481
452.567	258.992	10.382	2.007	0.476
452.768	258.992	1.060	1.987	0.490
452.968	258.992	0.921	1.974	0.484
453.167	258.992	1.600	1.998	0.516
453.367	258.992	11.227	1.950	0.474
453.567	258.992	25.305	1.953	0.488
453.768	258.992	34.525	1.906	0.480
453.967	258.992	44.291	1.937	0.507
454.167	258.992	53.810	1.945	0.492
454.367	258.992	62.814	1.976	0.483
454.568	258.992	72.676	1.951	0.469
454.768	258.992	83.071	1.931	0.489
454.967	258.992	90.126	1.949	0.506
455.167	258.992	89.815	1.961	0.493
455.367	258.992	82.868	1.962	0.483
455.567	258.992	72.282	1.951	0.484
455.767	258.992	58.915	1.913	0.483
455.967	258.992	48.457	1.895	0.503
456.168	258.992	38.430	1.907	0.520
456.368	258.992	29.039	1.895	0.486
