TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
7.875	274.000	71.190	0.530	0.375
8.076	274.000	63.468	0.520	0.337
8.175	274.000	56.426	0.504	0.304
8.375	274.000	49.162	0.523	0.346
8.575	274.000	41.415	0.538	0.347
8.776	274.000	33.788	0.528	0.321
8.975	274.000	26.619	0.502	0.335
9.176	274.000	18.136	0.521	0.343
9.376	274.000	10.490	0.523	0.338
9.475	274.000	3.842	0.507	0.312
9.675	274.000	0.857	0.510	0.356
9.875	274.000	3.512	0.516	0.340
10.075	274.000	11.519	0.479	0.329
10.276	274.000	18.821	0.477	0.338
10.476	274.000	27.032	0.465	0.335
10.675	274.000	35.077	0.477	0.330
10.876	274.000	46.311	0.472	0.348
11.075	274.000	53.423	0.479	0.326
11.276	274.000	62.313	0.478	0.332
11.475	274.000	70.041	0.479	0.334
11.676	274.000	77.692	0.497	0.343
11.876	274.000	85.287	0.487	0.332
12.076	274.000	90.151	0.479	0.328
12.276	274.000	90.056	0.490	0.330
12.475	274.000	89.757	0.492	0.322
12.676	274.000	82.785	0.487	0.346
12.876	274.000	74.111	0.512	0.344
13.075	274.000	66.237	0.493	0.316
13.175	274.000	59.519	0.475	0.352
13.375	274.000	51.594	0.506	0.347
13.576	274.000	43.910	0.510	0.324
13.775	274.000	36.621	0.484	0.325
13.975	274.000	28.880	0.520	0.340
14.175	274.000	21.241	0.527	0.342
14.376	274.000	13.138	0.515	0.331
14.576	274.000	5.067	0.529	0.339
14.775	274.000	0.883	0.521	0.320
14.975	274.000	5.385	0.535	0.351
15.175	274.000	13.691	0.542	0.346
15.375	274.000	24.975	0.548	0.323
15.576	274.000	33.052	0.533	0.324
15.775	274.000	40.297	0.545	0.339
15.975	274.000	47.847	0.556	0.336
16.175	274.000	55.302	0.558	0.346
16.376	274.000	62.592	0.562	0.338
16.475	274.000	69.558	0.548	0.326
16.675	274.000	77.210	0.557	0.332
16.875	274.000	84.906	0.569	0.344
17.076	274.000	90.043	0.555	0.322
17.275	274.000	89.681	0.560	0.327
17.476	274.000	82.880	0.551	0.348
17.676	274.000	74.670	0.570	0.334
17.876	274.000	66.859	0.538	0.340
18.076	274.000	58.744	0.537	0.324
18.275	274.000	50.559	0.548	0.339
18.475	274.000	42.075	0.542	0.325
18.675	274.000	34.442	0.549	0.350
18.876	274.000	26.060	0.548	0.323
19.075	274.000	17.850	0.517	0.326
19.275	274.000	7.245	0.531	0.345
19.475	274.000	0.857	0.543	0.335
19.676	274.000	0.927	0.556	0.333
19.875	274.000	1.276	0.547	0.338
20.076	274.000	8.166	0.589	0.338
20.276	274.000	16.167	0.585	0.332
20.476	274.000	24.022	0.576	0.347
20.676	274.000	32.430	0.584	0.338
20.875	274.000	40.196	0.536	0.306
21.075	274.000	48.152	0.534	0.347
21.275	274.000	56.483	0.545	0.336
21.475	274.000	67.215	0.545	0.336
21.676	274.000	75.584	0.504	0.338
21.876	274.000	83.865	0.522	0.331
22.075	274.000	90.088	0.500	0.331
22.275	274.000	90.081	0.498	0.343
22.476	274.000	87.421	0.506	0.340
22.675	274.000	79.470	0.516	0.332
22.876	274.000	71.761	0.502	0.331
23.075	274.000	64.040	0.534	0.346
23.276	274.000	55.512	0.517	0.323
23.476	274.000	47.441	0.527	0.344
23.675	274.000	39.973	0.522	0.344
23.875	274.000	31.718	0.510	0.320
24.076	274.000	21.044	0.492	0.331
24.276	274.000	12.776	0.525	0.349
24.475	274.000	5.569	0.507	0.332
24.676	274.000	0.806	0.498	0.326
24.876	274.000	0.953	0.517	0.348
25.075	274.000	0.991	0.512	0.314
25.276	274.000	7.468	0.496	0.338
25.375	274.000	14.548	0.494	0.326
25.575	274.000	21.742	0.513	0.331
25.775	274.000	29.223	0.511	0.346
25.976	274.000	36.640	0.519	0.343
26.176	274.000	44.761	0.524	0.335
26.376	274.000	52.775	0.497	0.318
26.575	274.000	60.839	0.498	0.343
26.775	274.000	68.739	0.523	0.349
26.976	274.000	77.178	0.509	0.331
27.175	274.000	85.420	0.512	0.328
27.375	274.000	90.126	0.509	0.335
27.575	274.000	90.050	0.517	0.330
27.776	274.000	88.119	0.508	0.346
27.976	274.000	76.867	0.513	0.322
28.175	274.000	68.352	0.511	0.340
28.375	274.000	61.049	0.498	0.326
28.576	274.000	53.264	0.540	0.353
28.775	274.000	45.555	0.519	0.323
28.976	274.000	38.443	0.520	0.347
29.176	274.000	30.620	0.514	0.327
29.275	274.000	23.870	0.519	0.330
29.475	274.000	16.326	0.519	0.333
29.676	274.000	8.725	0.513	0.340
29.876	274.000	1.505	0.515	0.327
30.075	274.000	0.902	0.516	0.333
30.275	274.000	6.217	0.506	0.339
30.476	274.000	13.557	0.535	0.338
30.575	274.000	20.460	0.512	0.329
30.775	274.000	28.080	0.507	0.322
30.976	274.000	35.592	0.527	0.346
31.176	274.000	42.844	0.496	0.319
31.375	274.000	50.902	0.518	0.338
31.575	274.000	58.465	0.512	0.347
31.675	274.000	65.145	0.521	0.310
31.876	274.000	73.082	0.502	0.335
32.075	274.000	80.918	0.511	0.343
32.276	274.000	88.068	0.520	0.337
32.475	274.000	90.107	0.493	0.318
32.676	274.000	87.427	0.491	0.334
32.876	274.000	78.829	0.516	0.342
33.076	274.000	71.368	0.500	0.334
33.175	274.000	64.154	0.485	0.331
33.375	274.000	56.661	0.504	0.340
33.575	274.000	49.016	0.504	0.339
33.775	274.000	41.396	0.505	0.346
33.976	274.000	33.896	0.503	0.329
34.176	274.000	26.403	0.503	0.327
34.276	274.000	19.317	0.513	0.355
34.476	274.000	12.179	0.504	0.325
34.676	274.000	4.274	0.519	0.336
34.876	274.000	0.826	0.509	0.332
35.075	274.000	0.984	0.511	0.336
35.276	274.000	7.068	0.525	0.341
35.375	274.000	13.932	0.511	0.309
35.575	274.000	21.330	0.517	0.338
35.776	274.000	29.045	0.520	0.333
35.975	274.000	36.703	0.519	0.328
36.175	274.000	43.936	0.511	0.333
36.276	274.000	50.692	0.557	0.362
36.476	274.000	58.115	0.520	0.329
36.676	274.000	65.742	0.523	0.329
36.876	274.000	73.463	0.512	0.330
37.076	274.000	80.994	0.537	0.350
37.275	274.000	88.595	0.512	0.323
37.476	274.000	90.119	0.503	0.332
37.575	274.000	89.891	0.527	0.366
37.775	274.000	83.865	0.512	0.326
37.975	274.000	75.946	0.528	0.333
38.175	274.000	68.447	0.489	0.321
38.376	274.000	60.700	0.531	0.341
38.575	274.000	53.067	0.514	0.336
38.775	274.000	44.780	0.521	0.342
38.976	274.000	36.690	0.513	0.330
39.175	274.000	29.293	0.516	0.325
39.376	274.000	20.834	0.502	0.339
39.576	274.000	10.198	0.531	0.347
39.775	274.000	2.076	0.523	0.322
39.976	274.000	0.902	0.505	0.330
40.175	274.000	0.972	0.527	0.346
40.375	274.000	5.480	0.533	0.330
40.576	274.000	13.113	0.499	0.331
40.775	274.000	20.453	0.535	0.338
40.875	274.000	27.210	0.499	0.312
41.075	274.000	34.449	0.523	0.329
41.275	274.000	41.840	0.526	0.339
41.475	274.000	49.111	0.512	0.321
41.676	274.000	57.385	0.517	0.325
41.876	274.000	65.100	0.533	0.354
42.076	274.000	73.273	0.543	0.339
42.176	274.000	80.423	0.509	0.306
42.375	274.000	87.910	0.517	0.331
42.576	274.000	90.024	0.542	0.345
42.776	274.000	90.024	0.530	0.329
42.975	274.000	89.675	0.505	0.321
43.176	274.000	82.747	0.525	0.350
43.376	274.000	74.644	0.516	0.326
43.575	274.000	66.339	0.513	0.328
43.775	274.000	57.791	0.506	0.335
43.975	274.000	50.540	0.506	0.326
44.175	274.000	42.253	0.502	0.342
44.376	274.000	31.579	0.497	0.339
44.575	274.000	23.387	0.502	0.346
44.776	274.000	15.875	0.480	0.323
44.975	274.000	8.293	0.494	0.346
45.176	274.000	1.130	0.493	0.331
45.376	274.000	0.914	0.517	0.335
45.575	274.000	0.997	0.487	0.338
45.776	274.000	7.410	0.520	0.344
45.976	274.000	15.824	0.514	0.326
46.175	274.000	24.079	0.501	0.339
46.375	274.000	34.442	0.529	0.352
46.575	274.000	42.704	0.519	0.327
46.776	274.000	49.873	0.499	0.324
46.976	274.000	57.385	0.523	0.341
47.175	274.000	65.024	0.511	0.329
47.376	274.000	72.352	0.515	0.349
47.476	274.000	79.629	0.487	0.315
47.676	274.000	87.084	0.527	0.348
47.875	274.000	90.107	0.518	0.338
48.076	274.000	90.043	0.500	0.331
48.275	274.000	89.732	0.509	0.347
48.475	274.000	82.982	0.493	0.324
48.675	274.000	74.721	0.502	0.337
48.875	274.000	66.402	0.536	0.348
49.075	274.000	58.255	0.539	0.325
49.275	274.000	50.057	0.542	0.335
49.475	274.000	42.551	0.550	0.332
49.675	274.000	31.833	0.573	0.346
49.876	274.000	23.578	0.561	0.330
50.076	274.000	16.085	0.558	0.345
50.276	274.000	8.528	0.543	0.320
50.476	274.000	1.219	0.523	0.331
50.676	274.000	0.914	0.534	0.355
50.875	274.000	0.984	0.520	0.318
51.076	274.000	6.242	0.503	0.334
51.175	274.000	13.043	0.479	0.334
51.376	274.000	20.517	0.511	0.341
51.576	274.000	27.991	0.507	0.338
51.776	274.000	35.668	0.486	0.322
51.976	274.000	43.066	0.522	0.352
52.075	274.000	49.721	0.537	0.347
52.275	274.000	57.131	0.523	0.317
52.475	274.000	64.669	0.539	0.349
52.676	274.000	72.460	0.544	0.341
52.876	274.000	79.978	0.531	0.342
53.076	274.000	87.605	0.509	0.342
53.176	274.000	90.132	0.520	0.356
53.375	274.000	89.878	0.516	0.330
53.575	274.000	83.833	0.505	0.336
53.776	274.000	75.845	0.495	0.326
53.975	274.000	68.193	0.498	0.339
54.176	274.000	60.509	0.489	0.336
54.376	274.000	52.838	0.510	0.358
54.576	274.000	44.412	0.484	0.328
54.776	274.000	37.148	0.487	0.327
54.975	274.000	28.708	0.488	0.345
55.176	274.000	21.019	0.508	0.334
55.375	274.000	12.681	0.493	0.341
55.576	274.000	1.505	0.493	0.333
55.776	274.000	0.895	0.511	0.347
55.976	274.000	0.978	0.517	0.324
56.175	274.000	3.048	0.499	0.339
56.375	274.000	10.687	0.527	0.342
56.475	274.000	17.628	0.490	0.304
56.675	274.000	25.267	0.493	0.340
56.875	274.000	32.811	0.476	0.351
57.075	274.000	40.183	0.460	0.330
57.276	274.000	47.454	0.437	0.322
57.476	274.000	55.525	0.442	0.344
57.575	274.000	62.579	0.497	0.346
57.775	274.000	70.009	0.469	0.340
57.976	274.000	77.502	0.473	0.329
58.176	274.000	85.135	0.495	0.358
58.376	274.000	90.132	0.479	0.312
58.575	274.000	90.056	0.485	0.333
58.775	274.000	85.236	0.490	0.343
58.876	274.000	78.461	0.514	0.352
59.075	274.000	70.536	0.493	0.332
59.275	274.000	62.814	0.459	0.327
59.475	274.000	55.493	0.490	0.351
59.676	274.000	47.943	0.477	0.327
59.875	274.000	40.272	0.481	0.343
60.076	274.000	31.896	0.492	0.336
60.276	274.000	23.825	0.486	0.329
60.475	274.000	16.383	0.474	0.332
60.676	274.000	4.966	0.503	0.362
60.876	274.000	0.857	0.511	0.328
61.076	274.000	0.953	0.486	0.327
61.275	274.000	1.041	0.504	0.351
61.477	274.000	7.080	0.544	0.345
61.676	274.000	14.681	0.519	0.333
61.876	274.000	22.879	0.533	0.344
62.076	274.000	30.271	0.512	0.326
62.175	274.000	37.065	0.544	0.329
62.376	274.000	44.539	0.529	0.338
62.575	274.000	51.988	0.511	0.334
62.776	274.000	59.468	0.502	0.330
62.976	274.000	67.596	0.480	0.343
63.176	274.000	75.616	0.484	0.346
63.375	274.000	83.261	0.508	0.332
63.576	274.000	90.119	0.483	0.318
63.776	274.000	90.043	0.509	0.348
63.975	274.000	87.973	0.513	0.344
64.176	274.000	79.439	0.516	0.343
64.375	274.000	71.615	0.492	0.338
64.576	274.000	63.970	0.517	0.324
64.776	274.000	56.445	0.530	0.337
64.976	274.000	48.844	0.519	0.341
65.176	274.000	41.269	0.532	0.350
65.376	274.000	32.906	0.521	0.320
65.576	274.000	24.809	0.518	0.338
65.775	274.000	17.278	0.521	0.335
65.976	274.000	9.087	0.538	0.334
66.176	274.000	0.857	0.519	0.346
66.376	274.000	0.940	0.488	0.337
66.576	274.000	1.054	0.514	0.327
66.775	274.000	7.087	0.508	0.327
66.975	274.000	14.554	0.514	0.348
67.176	274.000	22.098	0.464	0.341
67.375	274.000	30.258	0.375	0.334
67.475	274.000	37.071	0.354	0.338
67.675	274.000	44.323	0.382	0.353
67.876	274.000	51.899	0.422	0.319
177.876	258.980	52.832	0.356	0.321
178.075	258.980	44.691	0.378	0.347
178.275	258.980	36.506	0.383	0.334
178.476	258.980	28.169	0.382	0.332
178.676	258.980	20.377	0.388	0.345
178.875	258.980	11.982	0.377	0.326
179.076	258.980	3.912	0.366	0.342
179.275	258.980	2.051	0.344	0.344
179.476	258.980	9.868	0.334	0.350
179.676	258.980	17.602	0.327	0.339
179.876	258.980	25.330	0.300	0.315
180.076	258.980	32.709	0.289	0.344
180.276	258.980	40.272	0.307	0.353
180.476	258.980	48.209	0.308	0.343
180.675	258.980	56.585	0.287	0.337
180.875	258.980	64.586	0.277	0.333
181.076	258.980	72.371	0.281	0.337
181.275	258.980	80.271	0.255	0.324
181.476	258.980	90.024	0.269	0.353
181.676	258.980	90.037	0.271	0.351
181.875	258.980	90.030	0.279	0.322
182.076	258.980	85.338	0.258	0.339
182.275	258.980	77.642	0.276	0.327
182.476	258.980	70.269	0.325	0.356
182.675	258.980	62.383	0.356	0.328
182.876	258.980	54.705	0.393	0.345
182.975	258.980	48.044	0.352	0.338
183.175	258.980	40.411	0.408	0.348
183.376	258.980	32.906	0.400	0.340
183.576	258.980	25.400	0.401	0.339
