TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
3.144	274.000	7.264	3.589	0.304
3.343	274.000	13.494	3.608	0.317
3.543	274.000	21.438	3.601	0.335
3.743	274.000	27.553	3.616	0.335
3.944	274.000	33.553	3.598	0.310
4.143	274.000	39.135	3.581	0.322
4.343	274.000	44.895	3.619	0.341
4.543	274.000	50.184	3.600	0.317
4.743	274.000	56.236	3.616	0.331
4.943	274.000	62.408	3.605	0.321
5.144	274.000	68.669	3.602	0.317
5.344	274.000	74.822	3.616	0.352
5.543	274.000	80.448	3.617	0.316
5.743	274.000	86.513	3.611	0.324
5.943	274.000	90.177	3.600	0.321
6.143	274.000	85.725	3.634	0.331
6.343	274.000	79.896	3.609	0.322
6.543	274.000	73.743	3.629	0.336
6.743	274.000	68.148	3.617	0.315
6.943	274.000	62.186	3.604	0.326
7.143	274.000	56.541	3.614	0.323
7.343	274.000	51.187	3.628	0.330
7.543	274.000	44.990	3.613	0.302
7.643	274.000	39.764	3.603	0.329
7.843	274.000	34.290	3.621	0.323
8.043	274.000	28.632	3.626	0.321
8.244	274.000	22.873	3.608	0.319
8.443	274.000	17.456	3.626	0.321
8.643	274.000	11.240	3.626	0.339
8.843	274.000	5.563	3.636	0.329
8.943	274.000	0.940	3.631	0.321
9.143	274.000	0.908	3.631	0.323
9.343	274.000	3.099	3.627	0.328
9.543	274.000	9.157	3.648	0.329
9.743	274.000	15.132	3.628	0.303
9.943	274.000	21.342	3.633	0.339
10.143	274.000	27.470	3.653	0.340
10.343	274.000	35.262	3.637	0.319
10.543	274.000	41.535	3.635	0.331
10.743	274.000	47.612	3.621	0.319
10.943	274.000	53.137	3.642	0.331
11.144	274.000	58.973	3.632	0.337
11.343	274.000	64.370	3.658	0.332
11.543	274.000	70.199	3.612	0.307
11.743	274.000	76.353	3.645	0.330
11.943	274.000	82.417	3.636	0.334
12.143	274.000	88.595	3.641	0.313
12.343	274.000	90.094	3.636	0.325
12.543	274.000	90.043	3.625	0.300
12.743	274.000	88.341	3.635	0.339
12.943	274.000	79.864	3.624	0.328
13.143	274.000	73.489	3.632	0.328
13.343	274.000	67.361	3.610	0.319
13.543	274.000	61.608	3.608	0.316
13.743	274.000	55.975	3.616	0.326
13.943	274.000	50.533	3.608	0.334
14.143	274.000	45.022	3.625	0.334
14.343	274.000	39.161	3.604	0.324
14.443	274.000	34.131	3.597	0.324
14.643	274.000	28.505	3.616	0.333
14.843	274.000	22.689	3.614	0.320
15.043	274.000	17.291	3.595	0.303
15.243	274.000	11.335	3.615	0.347
15.443	274.000	5.302	3.622	0.324
15.643	274.000	0.806	3.612	0.336
15.843	274.000	2.781	3.605	0.318
16.043	274.000	9.239	3.615	0.330
16.243	274.000	15.234	3.600	0.315
16.443	274.000	20.942	3.616	0.352
16.643	274.000	26.715	3.605	0.320
16.843	274.000	32.150	3.599	0.311
17.043	274.000	37.770	3.595	0.328
17.243	274.000	43.796	3.621	0.344
17.443	274.000	49.956	3.604	0.316
17.643	274.000	55.963	3.610	0.330
17.843	274.000	63.907	3.588	0.303
18.043	274.000	70.212	3.610	0.340
18.243	274.000	76.181	3.606	0.331
18.443	274.000	81.598	3.625	0.338
18.644	274.000	87.452	3.573	0.305
18.843	274.000	90.157	3.618	0.335
19.043	274.000	89.757	3.607	0.317
19.243	274.000	83.706	3.613	0.342
19.443	274.000	77.794	3.614	0.339
19.543	274.000	72.466	3.596	0.303
19.743	274.000	66.916	3.618	0.325
19.943	274.000	60.998	3.625	0.326
20.143	274.000	55.163	3.615	0.312
20.344	274.000	49.803	3.616	0.325
20.543	274.000	44.018	3.622	0.338
20.743	274.000	37.795	3.644	0.334
20.943	274.000	31.452	3.615	0.323
21.143	274.000	25.946	3.621	0.324
21.343	274.000	19.653	3.627	0.329
21.543	274.000	11.684	3.619	0.328
21.743	274.000	5.639	3.639	0.336
21.943	274.000	0.813	3.621	0.314
22.143	274.000	1.016	3.612	0.318
22.344	274.000	5.798	3.628	0.321
22.543	274.000	11.487	3.650	0.320
22.743	274.000	17.050	3.625	0.326
22.943	274.000	23.171	3.634	0.319
23.043	274.000	28.277	3.639	0.339
23.243	274.000	33.973	3.640	0.318
23.443	274.000	39.453	3.609	0.322
23.643	274.000	45.307	3.639	0.325
23.843	274.000	50.857	3.639	0.330
24.044	274.000	57.042	3.640	0.340
24.243	274.000	63.030	3.652	0.332
24.443	274.000	69.164	3.629	0.310
24.644	274.000	75.279	3.624	0.338
24.843	274.000	81.490	3.645	0.325
25.043	274.000	87.490	3.632	0.324
25.243	274.000	90.138	3.634	0.315
25.443	274.000	85.681	3.643	0.337
25.643	274.000	79.832	3.618	0.314
25.843	274.000	73.495	3.643	0.337
26.043	274.000	67.977	3.647	0.344
26.243	274.000	62.059	3.627	0.312
26.444	274.000	56.337	3.632	0.336
26.643	274.000	50.940	3.636	0.325
26.843	274.000	44.882	3.630	0.328
27.043	274.000	38.799	3.639	0.334
27.143	274.000	33.909	3.620	0.296
27.343	274.000	28.308	3.642	0.319
27.543	274.000	22.523	3.627	0.327
27.744	274.000	16.853	3.634	0.316
27.943	274.000	11.271	3.621	0.317
28.143	274.000	5.086	3.614	0.324
28.343	274.000	0.813	3.650	0.340
28.543	274.000	1.638	3.597	0.280
28.743	274.000	7.823	3.648	0.351
28.943	274.000	13.716	3.610	0.322
29.143	274.000	21.641	3.634	0.325
29.343	274.000	27.889	3.621	0.337
29.543	274.000	33.642	3.651	0.328
29.743	274.000	39.307	3.623	0.320
29.943	274.000	44.837	3.624	0.325
30.143	274.000	50.654	3.640	0.339
30.344	274.000	56.864	3.648	0.326
30.543	274.000	62.776	3.630	0.328
30.744	274.000	69.050	3.631	0.319
30.943	274.000	74.911	3.626	0.314
31.043	274.000	80.137	3.669	0.340
31.243	274.000	85.897	3.631	0.324
31.443	274.000	90.221	3.643	0.328
31.643	274.000	89.726	3.645	0.335
31.843	274.000	84.335	3.645	0.332
32.043	274.000	78.137	3.662	0.325
32.243	274.000	72.238	3.626	0.312
32.443	274.000	66.834	3.658	0.329
32.643	274.000	60.439	3.653	0.335
32.843	274.000	54.286	3.645	0.319
33.043	274.000	48.165	3.641	0.340
33.243	274.000	42.043	3.637	0.311
33.443	274.000	35.979	3.640	0.331
33.644	274.000	28.086	3.643	0.339
33.843	274.000	22.257	3.661	0.328
34.043	274.000	16.193	3.627	0.315
34.243	274.000	10.630	3.635	0.329
34.443	274.000	4.896	3.643	0.329
34.643	274.000	0.832	3.645	0.334
34.743	274.000	0.908	3.606	0.313
34.943	274.000	4.610	3.646	0.350
35.143	274.000	10.363	3.632	0.315
35.344	274.000	15.881	3.628	0.329
35.543	274.000	21.527	3.626	0.311
35.643	274.000	26.651	3.637	0.341
35.843	274.000	32.169	3.638	0.341
36.043	274.000	37.948	3.611	0.304
36.243	274.000	43.593	3.631	0.337
36.443	274.000	49.168	3.612	0.309
36.543	274.000	54.477	3.646	0.347
36.743	274.000	59.931	3.623	0.335
36.943	274.000	65.577	3.627	0.327
37.143	274.000	71.095	3.630	0.330
37.343	274.000	76.695	3.621	0.328
37.543	274.000	82.950	3.623	0.307
37.743	274.000	88.748	3.609	0.317
37.943	274.000	90.094	3.638	0.342
38.143	274.000	89.948	3.637	0.314
38.243	274.000	85.503	3.602	0.318
38.443	274.000	79.623	3.616	0.329
38.643	274.000	74.067	3.648	0.342
38.843	274.000	68.199	3.612	0.297
39.043	274.000	62.605	3.621	0.334
39.243	274.000	57.163	3.605	0.323
39.343	274.000	52.089	3.654	0.336
39.543	274.000	46.488	3.620	0.322
39.743	274.000	40.818	3.618	0.331
39.943	274.000	35.287	3.643	0.336
40.143	274.000	29.267	3.630	0.331
40.343	274.000	23.393	3.629	0.326
40.543	274.000	17.367	3.627	0.317
40.743	274.000	11.233	3.618	0.321
40.943	274.000	5.398	3.635	0.335
41.143	274.000	0.851	3.644	0.323
41.343	274.000	2.788	3.617	0.315
41.543	274.000	9.100	3.639	0.334
41.744	274.000	14.592	3.642	0.329
41.943	274.000	20.390	3.643	0.328
42.143	274.000	26.022	3.639	0.323
42.343	274.000	32.036	3.653	0.315
42.543	274.000	38.272	3.638	0.318
42.643	274.000	43.301	3.665	0.333
42.843	274.000	48.711	3.647	0.330
43.044	274.000	54.489	3.646	0.313
43.243	274.000	59.982	3.653	0.320
43.443	274.000	65.792	3.663	0.344
43.643	274.000	71.920	3.662	0.317
43.843	274.000	78.029	3.651	0.312
44.043	274.000	83.871	3.645	0.327
44.243	274.000	90.183	3.659	0.328
44.443	274.000	90.030	3.654	0.328
44.643	274.000	89.935	3.661	0.340
44.843	274.000	85.090	3.669	0.322
45.043	274.000	79.178	3.647	0.325
45.244	274.000	73.762	3.667	0.338
45.443	274.000	67.971	3.661	0.327
45.644	274.000	62.224	3.663	0.324
45.843	274.000	55.766	3.650	0.311
46.043	274.000	49.600	3.670	0.329
46.244	274.000	43.561	3.669	0.325
46.443	274.000	37.910	3.673	0.326
46.644	274.000	29.870	3.667	0.328
46.844	274.000	23.736	3.659	0.303
47.043	274.000	18.358	3.669	0.336
47.244	274.000	12.757	3.674	0.332
47.444	274.000	7.182	3.665	0.328
47.643	274.000	1.251	3.665	0.323
47.843	274.000	0.895	3.666	0.318
48.043	274.000	1.022	3.668	0.294
48.243	274.000	6.140	3.654	0.336
48.443	274.000	12.427	3.671	0.327
48.643	274.000	20.333	3.665	0.321
48.843	274.000	26.422	3.653	0.323
49.043	274.000	31.763	3.663	0.332
49.243	274.000	37.478	3.660	0.324
49.443	274.000	43.021	3.666	0.329
49.643	274.000	49.365	3.657	0.326
49.843	274.000	55.569	3.656	0.309
50.043	274.000	61.417	3.654	0.324
50.243	274.000	67.501	3.665	0.338
50.443	274.000	73.482	3.669	0.329
50.643	274.000	79.782	3.644	0.305
50.843	274.000	88.049	3.653	0.332
51.043	274.000	90.138	3.665	0.309
51.243	274.000	90.030	3.661	0.335
51.443	274.000	86.265	3.657	0.331
51.643	274.000	80.505	3.654	0.316
51.843	274.000	74.816	3.642	0.313
52.043	274.000	68.923	3.654	0.334
52.243	274.000	63.202	3.673	0.328
52.443	274.000	57.322	3.649	0.320
52.643	274.000	51.213	3.655	0.320
52.843	274.000	45.257	3.645	0.324
53.043	274.000	38.887	3.642	0.311
53.243	274.000	30.918	3.667	0.347
53.443	274.000	24.606	3.658	0.309
53.643	274.000	19.266	3.642	0.326
53.843	274.000	13.411	3.637	0.326
54.043	274.000	7.684	3.660	0.332
54.243	274.000	2.311	3.662	0.323
54.443	274.000	0.883	3.646	0.326
54.543	274.000	2.813	3.688	0.332
54.743	274.000	8.649	3.673	0.330
54.943	274.000	14.300	3.652	0.325
55.143	274.000	19.958	3.658	0.326
55.343	274.000	25.349	3.660	0.319
55.543	274.000	31.604	3.667	0.325
55.643	274.000	36.989	3.650	0.334
55.843	274.000	42.463	3.660	0.314
56.043	274.000	48.292	3.685	0.323
56.244	274.000	54.020	3.667	0.320
56.444	274.000	59.468	3.687	0.330
56.643	274.000	65.215	3.655	0.307
56.843	274.000	71.311	3.676	0.329
57.043	274.000	77.654	3.683	0.334
57.243	274.000	83.395	3.693	0.324
57.443	274.000	89.707	3.665	0.319
57.643	274.000	90.081	3.670	0.330
57.843	274.000	89.745	3.696	0.314
58.043	274.000	81.102	3.666	0.317
58.243	274.000	75.381	3.683	0.327
58.443	274.000	69.749	3.686	0.322
58.643	274.000	63.964	3.648	0.306
58.843	274.000	58.407	3.677	0.340
59.043	274.000	52.565	3.677	0.320
59.243	274.000	46.514	3.686	0.328
59.443	274.000	40.240	3.658	0.326
59.643	274.000	34.354	3.675	0.324
59.843	274.000	28.327	3.653	0.320
60.043	274.000	22.028	3.675	0.328
60.243	274.000	16.269	3.678	0.343
60.443	274.000	7.957	3.662	0.310
60.643	274.000	1.715	3.666	0.336
60.843	274.000	0.883	3.675	0.321
61.043	274.000	0.972	3.668	0.290
61.244	274.000	3.124	3.665	0.334
61.443	274.000	9.176	3.680	0.319
61.643	274.000	15.272	3.667	0.315
61.843	274.000	21.063	3.659	0.328
61.943	274.000	25.953	3.694	0.340
62.144	274.000	31.598	3.671	0.322
62.343	274.000	37.351	3.665	0.323
62.543	274.000	42.837	3.677	0.336
62.743	274.000	48.838	3.681	0.330
62.943	274.000	54.661	3.677	0.303
63.043	274.000	59.741	3.667	0.352
98.543	258.993	0.889	3.544	0.352
98.743	258.993	2.769	3.555	0.351
