TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
1377.308	274.000	63.799	3.944	0.413
1377.508	274.000	72.104	3.907	0.394
1377.709	274.000	82.982	3.928	0.408
1377.908	274.000	89.948	3.925	0.412
1378.108	274.000	89.872	3.959	0.405
1378.308	274.000	84.011	3.950	0.409
1378.508	274.000	76.073	3.927	0.386
1378.708	274.000	68.498	3.951	0.417
1378.908	274.000	60.827	3.954	0.409
1379.108	274.000	53.105	3.939	0.406
1379.309	274.000	44.717	3.923	0.397
1379.508	274.000	37.459	3.929	0.403
1379.708	274.000	29.108	3.935	0.399
1379.908	274.000	20.695	3.930	0.405
1380.108	274.000	9.887	3.926	0.423
1380.308	274.000	1.702	3.946	0.412
1380.508	274.000	0.883	3.908	0.389
1380.708	274.000	0.978	3.915	0.396
1380.908	274.000	3.486	3.912	0.418
1381.108	274.000	11.506	3.934	0.411
1381.308	274.000	18.860	3.911	0.395
1381.408	274.000	25.724	3.905	0.393
1381.608	274.000	33.090	3.933	0.427
1381.808	274.000	40.596	3.920	0.405
1382.008	274.000	48.063	3.935	0.388
1382.208	274.000	55.378	3.909	0.406
1382.308	274.000	62.256	3.933	0.424
1382.508	274.000	69.806	3.942	0.408
1382.708	274.000	77.483	3.907	0.386
1382.908	274.000	85.166	3.905	0.394
1383.108	274.000	90.081	3.920	0.429
1383.308	274.000	90.056	3.921	0.401
1383.508	274.000	85.185	3.898	0.402
1383.608	274.000	78.264	3.867	0.385
1383.808	274.000	70.485	3.899	0.413
1384.008	274.000	62.586	3.891	0.418
1384.208	274.000	55.213	3.882	0.386
1384.408	274.000	47.644	3.861	0.404
1384.608	274.000	39.942	3.871	0.414
1384.808	274.000	31.566	3.882	0.411
1385.008	274.000	24.321	3.876	0.399
1385.108	274.000	17.113	3.843	0.373
1385.308	274.000	9.493	3.867	0.423
1385.508	274.000	2.121	3.893	0.409
1385.709	274.000	0.889	3.861	0.379
1385.908	274.000	1.321	3.856	0.408
1386.108	274.000	8.122	3.857	0.415
1386.308	274.000	16.637	3.903	0.418
1386.508	274.000	24.746	3.882	0.401
1386.708	274.000	33.090	3.888	0.403
1386.908	274.000	41.129	3.892	0.416
1387.108	274.000	49.143	3.881	0.392
1387.308	274.000	59.804	3.893	0.391
1387.508	274.000	68.072	3.884	0.426
1387.708	274.000	76.353	3.900	0.404
1387.908	274.000	84.239	3.889	0.403
1388.108	274.000	90.043	3.861	0.381
1388.308	274.000	90.043	3.891	0.425
1388.508	274.000	87.402	3.915	0.408
1388.708	274.000	79.280	3.907	0.402
1388.908	274.000	71.571	3.892	0.401
1389.108	274.000	63.678	3.908	0.411
1389.308	274.000	55.251	3.916	0.396
1389.508	274.000	47.917	3.904	0.395
1389.608	274.000	40.767	3.902	0.406
1389.808	274.000	33.115	3.910	0.408
1390.008	274.000	25.584	3.933	0.405
1390.208	274.000	17.831	3.913	0.395
1390.408	274.000	10.243	3.921	0.415
1390.608	274.000	2.692	3.932	0.400
1390.808	274.000	0.889	3.928	0.405
1391.008	274.000	1.619	3.920	0.371
1391.108	274.000	8.039	3.933	0.413
1391.308	274.000	16.002	3.912	0.407
1391.508	274.000	23.406	3.934	0.403
1391.708	274.000	30.632	3.935	0.411
1391.909	274.000	38.678	3.919	0.407
1392.108	274.000	46.444	3.942	0.420
1392.208	274.000	53.124	3.906	0.400
1392.408	274.000	60.700	3.924	0.394
1392.608	274.000	68.307	3.918	0.401
1392.808	274.000	75.730	3.913	0.401
1393.008	274.000	83.712	3.931	0.400
1393.208	274.000	90.119	3.921	0.394
1393.408	274.000	89.821	3.922	0.414
1393.608	274.000	83.395	3.921	0.423
1393.808	274.000	74.759	3.913	0.395
1394.008	274.000	66.929	3.897	0.395
1394.208	274.000	58.496	3.888	0.412
1394.408	274.000	50.279	3.898	0.417
1394.608	274.000	42.704	3.899	0.403
1394.808	274.000	31.795	3.860	0.395
1395.008	274.000	23.622	3.839	0.414
1395.208	274.000	15.405	3.829	0.407
1395.408	274.000	7.995	3.836	0.394
