TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
20.282	274.000	30.302	-0.013	0.389
20.482	274.000	21.660	0.009	0.410
20.682	274.000	13.570	-0.006	0.399
20.882	274.000	5.417	-0.007	0.395
21.082	274.000	0.845	-0.009	0.408
21.282	274.000	3.188	0.009	0.405
21.482	274.000	11.989	0.012	0.392
21.682	274.000	19.850	0.005	0.394
21.882	274.000	28.200	0.021	0.392
22.082	274.000	36.170	0.015	0.407
22.282	274.000	44.018	0.033	0.409
22.382	274.000	48.895	0.029	0.419
22.582	274.000	56.731	0.012	0.400
22.782	274.000	64.853	0.014	0.387
22.982	274.000	72.936	0.013	0.400
23.182	274.000	80.721	0.019	0.406
23.382	274.000	89.116	0.025	0.415
23.582	274.000	90.075	-0.001	0.394
23.782	274.000	86.824	0.036	0.415
23.982	274.000	78.112	-0.006	0.390
24.182	274.000	70.599	0.031	0.412
24.382	274.000	62.630	0.007	0.390
24.582	274.000	53.715	0.007	0.402
24.782	274.000	45.885	-0.001	0.402
24.982	274.000	37.808	0.027	0.414
25.182	274.000	29.559	-0.013	0.395
25.382	274.000	21.781	-0.001	0.397
25.582	274.000	12.916	0.003	0.413
25.782	274.000	5.734	-0.002	0.416
25.882	274.000	1.448	-0.051	0.377
26.082	274.000	1.365	-0.027	0.413
26.182	274.000	5.601	-0.016	0.379
26.382	274.000	14.192	-0.016	0.401
26.582	274.000	21.888	0.009	0.408
26.783	274.000	29.680	-0.039	0.387
26.883	274.000	34.284	0.001	0.440
27.083	274.000	42.196	-0.008	0.375
27.283	274.000	50.832	-0.020	0.412
27.483	274.000	58.547	-0.018	0.388
27.682	274.000	66.878	-0.001	0.433
27.882	274.000	74.740	-0.044	0.377
28.082	274.000	82.722	-0.029	0.409
28.282	274.000	90.138	-0.035	0.398
28.482	274.000	88.741	-0.004	0.414
28.682	274.000	80.582	-0.022	0.371
28.882	274.000	71.984	-0.006	0.414
29.082	274.000	64.091	0.010	0.417
29.282	274.000	56.160	-0.004	0.401
29.382	274.000	51.511	-0.004	0.395
29.582	274.000	43.682	0.004	0.425
29.783	274.000	35.097	-0.013	0.384
29.982	274.000	27.445	-0.017	0.402
30.182	274.000	18.847	-0.019	0.401
30.382	274.000	10.732	-0.004	0.417
30.582	274.000	2.965	-0.006	0.401
30.782	274.000	1.378	0.000	0.396
30.982	274.000	8.915	0.009	0.403
31.182	274.000	17.596	-0.039	0.407
31.382	274.000	25.692	-0.125	0.388
31.582	274.000	33.344	-0.136	0.401
31.682	274.000	37.903	-0.139	0.419
31.882	274.000	46.152	-0.142	0.412
32.082	274.000	53.753	-0.167	0.400
32.282	274.000	61.767	-0.121	0.422
32.382	274.000	66.205	-0.109	0.388
32.582	274.000	74.333	-0.128	0.402
32.782	274.000	82.785	-0.031	0.413
32.982	274.000	89.859	-0.026	0.416
33.182	274.000	89.237	0.011	0.406
33.282	274.000	84.576	-0.000	0.406
33.482	274.000	76.010	-0.024	0.406
33.682	274.000	68.186	-0.019	0.388
33.882	274.000	60.217	-0.012	0.427
34.082	274.000	52.197	-0.005	0.385
34.282	274.000	44.183	-0.006	0.412
34.482	274.000	35.668	-0.002	0.383
34.682	274.000	27.489	0.006	0.420
34.882	274.000	19.571	-0.012	0.377
35.082	274.000	11.513	-0.012	0.409
35.282	274.000	3.473	-0.000	0.399
35.482	274.000	0.876	0.005	0.410
35.682	274.000	6.763	0.018	0.402
35.882	274.000	14.891	0.009	0.393
36.082	274.000	22.866	0.014	0.393
36.282	274.000	30.766	0.045	0.411
36.482	274.000	38.983	0.028	0.391
36.682	274.000	47.409	0.055	0.390
36.882	274.000	55.378	0.042	0.403
37.082	274.000	63.138	0.071	0.410
37.282	274.000	71.730	0.036	0.415
37.482	274.000	79.470	0.012	0.383
37.682	274.000	87.878	0.001	0.422
37.882	274.000	90.126	0.001	0.397
38.082	274.000	86.843	-0.048	0.416
38.282	274.000	78.302	-0.058	0.381
38.482	274.000	70.263	-0.054	0.427
38.682	274.000	62.141	-0.054	0.400
38.882	274.000	54.032	-0.062	0.406
39.082	274.000	46.126	-0.056	0.402
39.282	274.000	37.370	-0.054	0.405
39.482	274.000	29.401	-0.035	0.411
39.682	274.000	21.761	-0.027	0.401
39.883	274.000	13.360	-0.032	0.405
40.082	274.000	5.055	-0.019	0.407
40.282	274.000	0.832	-0.022	0.407
40.482	274.000	2.311	-0.034	0.400
40.682	274.000	10.173	-0.063	0.414
40.882	274.000	18.796	-0.068	0.398
41.082	274.000	26.708	-0.085	0.411
41.282	274.000	35.179	-0.089	0.408
41.482	274.000	42.850	-0.100	0.398
41.682	274.000	51.022	-0.094	0.407
41.882	274.000	59.144	-0.075	0.420
42.082	274.000	67.380	-0.081	0.408
42.282	274.000	75.914	-0.103	0.390
42.482	274.000	83.668	-0.083	0.427
42.682	274.000	90.132	-0.106	0.404
42.882	274.000	89.256	-0.073	0.413
43.082	274.000	81.083	-0.083	0.393
43.282	274.000	72.841	-0.041	0.430
43.482	274.000	64.605	-0.071	0.408
43.682	274.000	56.553	-0.035	0.416
43.882	274.000	48.527	-0.073	0.387
44.082	274.000	40.361	-0.034	0.421
44.282	274.000	32.601	-0.045	0.408
44.482	274.000	23.673	-0.047	0.401
44.682	274.000	15.805	-0.049	0.393
44.882	274.000	8.122	-0.039	0.409
45.082	274.000	0.864	-0.033	0.407
45.282	274.000	2.661	-0.018	0.409
45.382	274.000	7.607	-0.036	0.435
45.582	274.000	15.227	0.001	0.399
45.682	274.000	19.672	-0.033	0.375
45.882	274.000	27.680	-0.004	0.427
46.082	274.000	35.998	-0.008	0.392
46.282	274.000	43.745	0.002	0.417
46.482	274.000	51.810	0.009	0.379
46.682	274.000	60.008	0.035	0.431
46.782	274.000	64.554	-0.005	0.367
46.982	274.000	72.600	0.000	0.394
47.182	274.000	80.537	0.033	0.418
47.382	274.000	88.646	-0.015	0.394
47.582	274.000	90.037	0.017	0.422
47.782	274.000	84.709	0.001	0.379
47.982	274.000	76.943	0.057	0.431
48.182	274.000	68.980	0.008	0.386
48.382	274.000	60.598	0.005	0.404
48.582	274.000	52.159	-0.011	0.396
48.782	274.000	43.999	0.003	0.406
48.983	274.000	35.878	0.010	0.405
49.183	274.000	27.826	-0.026	0.389
49.382	274.000	19.755	0.005	0.416
49.582	274.000	11.557	0.001	0.403
49.782	274.000	3.581	-0.024	0.398
49.982	274.000	1.359	-0.035	0.390
50.182	274.000	8.903	0.000	0.425
50.382	274.000	17.494	-0.026	0.386
50.582	274.000	25.470	-0.020	0.415
50.782	274.000	33.242	-0.044	0.369
50.882	274.000	37.827	0.025	0.449
51.082	274.000	45.530	-0.004	0.395
51.282	274.000	53.893	-0.006	0.402
51.482	274.000	61.678	-0.001	0.414
51.682	274.000	72.041	0.005	0.383
51.882	274.000	79.477	-0.001	0.413
52.082	274.000	87.725	-0.028	0.394
52.282	274.000	90.113	-0.008	0.425
52.483	274.000	88.875	-0.016	0.401
52.682	274.000	80.550	-0.011	0.406
52.882	274.000	72.104	-0.016	0.401
53.082	274.000	64.268	-0.031	0.401
53.282	274.000	56.267	-0.005	0.422
53.482	274.000	47.727	-0.042	0.383
53.682	274.000	39.884	-0.047	0.408
53.882	274.000	31.966	-0.051	0.388
54.082	274.000	23.482	-0.040	0.429
54.282	274.000	15.596	-0.035	0.382
54.482	274.000	7.588	-0.064	0.400
54.682	274.000	0.864	-0.060	0.395
54.882	274.000	0.933	-0.083	0.421
55.082	274.000	1.842	-0.094	0.379
55.282	274.000	9.671	-0.078	0.423
55.482	274.000	17.647	-0.090	0.394
55.683	274.000	26.403	-0.055	0.419
55.882	274.000	34.341	-0.072	0.406
56.082	274.000	42.278	-0.065	0.407
56.282	274.000	50.667	-0.111	0.406
56.482	274.000	58.782	-0.101	0.397
56.682	274.000	66.732	-0.105	0.421
56.882	274.000	74.676	-0.099	0.395
57.082	274.000	82.614	-0.083	0.402
57.282	274.000	90.157	-0.035	0.417
57.482	274.000	90.069	-0.038	0.392
57.682	274.000	89.256	-0.014	0.410
57.882	274.000	80.474	-0.040	0.395
58.082	274.000	73.063	-0.014	0.426
58.282	274.000	63.900	-0.038	0.399
58.482	274.000	55.982	-0.074	0.400
58.682	274.000	48.641	-0.068	0.408
58.882	274.000	39.630	-0.062	0.407
59.082	274.000	31.763	-0.053	0.407
59.282	274.000	24.225	-0.089	0.398
59.482	274.000	15.177	-0.089	0.410
59.682	274.000	7.309	-0.093	0.409
59.882	274.000	0.806	-0.083	0.410
60.082	274.000	0.946	-0.100	0.391
60.282	274.000	1.143	-0.078	0.424
60.482	274.000	7.868	-0.061	0.398
60.682	274.000	16.535	-0.069	0.411
60.882	274.000	25.375	-0.039	0.404
61.082	274.000	32.245	-0.090	0.410
61.282	274.000	41.078	-0.062	0.395
61.482	274.000	49.594	-0.083	0.421
61.682	274.000	57.398	-0.071	0.394
61.882	274.000	65.094	-0.103	0.395
62.082	274.000	74.028	-0.092	0.413
62.282	274.000	81.864	-0.078	0.429
62.482	274.000	89.300	-0.092	0.396
62.682	274.000	90.075	-0.085	0.394
62.882	274.000	89.872	-0.075	0.410
63.082	274.000	83.242	-0.062	0.429
63.282	274.000	74.130	-0.077	0.392
63.482	274.000	66.142	-0.067	0.418
63.682	274.000	58.522	-0.093	0.382
63.882	274.000	50.267	-0.049	0.443
64.082	274.000	41.726	-0.110	0.385
64.282	274.000	34.220	-0.069	0.434
64.482	274.000	25.413	-0.112	0.394
64.682	274.000	17.456	-0.060	0.423
64.882	274.000	9.468	-0.058	0.409
65.083	274.000	1.600	-0.071	0.397
65.282	274.000	0.908	-0.081	0.403
65.482	274.000	0.978	-0.078	0.387
65.682	274.000	6.902	-0.083	0.433
65.882	274.000	14.910	-0.094	0.389
66.082	274.000	22.835	-0.110	0.410
66.282	274.000	31.039	-0.078	0.419
66.482	274.000	39.116	-0.093	0.409
66.682	274.000	46.838	-0.066	0.395
66.882	274.000	54.940	-0.086	0.396
67.082	274.000	63.557	-0.060	0.422
67.283	274.000	71.285	-0.053	0.402
67.482	274.000	79.578	-0.037	0.399
67.682	274.000	88.214	-0.065	0.389
67.882	274.000	90.037	-0.047	0.416
68.082	274.000	90.037	-0.025	0.398
68.282	274.000	84.125	-0.060	0.404
68.482	274.000	76.454	-0.037	0.402
68.682	274.000	68.174	-0.043	0.414
68.882	274.000	59.906	-0.035	0.396
69.082	274.000	52.051	-0.038	0.419
69.282	274.000	43.898	-0.053	0.386
69.482	274.000	35.687	-0.006	0.404
69.682	274.000	27.165	-0.002	0.422
69.883	274.000	19.196	-0.004	0.392
70.082	274.000	11.068	-0.030	0.410
70.283	274.000	2.940	-0.028	0.376
70.483	274.000	0.883	-0.021	0.431
70.682	274.000	0.978	-0.039	0.391
70.882	274.000	6.153	-0.067	0.398
71.082	274.000	14.230	-0.045	0.408
71.282	274.000	22.130	-0.033	0.422
71.482	274.000	30.690	-0.042	0.413
71.682	274.000	38.532	-0.055	0.385
71.882	274.000	46.476	-0.040	0.403
72.082	274.000	55.201	-0.024	0.412
72.282	274.000	62.757	-0.027	0.393
72.482	274.000	70.701	0.011	0.410
72.682	274.000	79.489	-0.045	0.384
72.882	274.000	87.040	0.004	0.429
73.083	274.000	90.113	-0.036	0.398
73.282	274.000	89.859	-0.012	0.415
73.482	274.000	83.801	-0.026	0.403
73.682	274.000	75.311	-0.024	0.403
73.882	274.000	66.745	-0.020	0.414
74.082	274.000	58.763	-0.035	0.397
74.282	274.000	50.679	-0.022	0.397
74.482	274.000	42.545	-0.045	0.404
74.682	274.000	34.538	-0.027	0.416
74.882	274.000	26.505	-0.020	0.408
75.082	274.000	17.685	-0.045	0.394
75.283	274.000	9.957	-0.030	0.409
75.482	274.000	2.527	-0.039	0.403
75.682	274.000	0.908	-0.015	0.412
75.882	274.000	1.022	-0.057	0.389
76.082	274.000	7.372	-0.015	0.425
76.282	274.000	15.742	-0.031	0.403
76.482	274.000	24.448	-0.026	0.414
76.682	274.000	31.610	-0.025	0.391
76.882	274.000	40.265	-0.040	0.410
77.082	274.000	48.882	-0.033	0.406
77.282	274.000	56.312	-0.028	0.411
77.482	274.000	64.681	-0.040	0.399
77.683	274.000	73.324	-0.036	0.413
77.882	274.000	80.956	-0.053	0.401
78.082	274.000	88.926	-0.003	0.422
78.282	274.000	90.088	-0.048	0.403
78.482	274.000	89.783	-0.012	0.394
78.682	274.000	82.830	-0.032	0.405
78.882	274.000	74.308	0.007	0.411
79.082	274.000	66.396	-0.021	0.417
79.282	274.000	58.369	-0.019	0.385
79.482	274.000	50.127	-0.022	0.410
79.682	274.000	41.504	-0.006	0.421
79.882	274.000	34.303	-0.015	0.397
80.082	274.000	26.048	-0.046	0.403
80.282	274.000	17.304	-0.023	0.398
80.482	274.000	9.563	-0.024	0.408
80.682	274.000	1.429	-0.021	0.425
80.882	274.000	0.927	-0.048	0.381
81.082	274.000	0.959	-0.024	0.428
81.282	274.000	7.493	-0.035	0.384
81.482	274.000	16.123	-0.028	0.427
81.682	274.000	24.365	-0.031	0.385
81.882	274.000	32.430	-0.043	0.406
82.082	274.000	40.558	-0.033	0.407
82.282	274.000	48.819	-0.026	0.407
82.482	274.000	56.648	-0.023	0.405
82.682	274.000	65.342	-0.036	0.392
82.882	274.000	73.457	-0.033	0.401
83.082	274.000	81.210	-0.015	0.416
83.282	274.000	89.256	-0.020	0.396
83.482	274.000	90.100	-0.025	0.401
83.682	274.000	89.218	-0.018	0.392
83.882	274.000	81.280	-0.011	0.414
84.082	274.000	73.095	-0.024	0.392
84.282	274.000	64.973	-0.019	0.403
84.482	274.000	57.163	-0.034	0.391
84.682	274.000	48.305	-0.015	0.415
84.882	274.000	40.532	-0.021	0.393
85.082	274.000	32.620	-0.036	0.398
85.283	274.000	23.736	-0.031	0.405
85.482	274.000	16.027	-0.029	0.408
85.682	274.000	7.969	-0.023	0.402
85.882	274.000	0.851	-0.018	0.400
86.082	274.000	0.940	-0.051	0.392
86.282	274.000	2.210	-0.011	0.423
86.482	274.000	10.287	-0.040	0.390
86.682	274.000	18.688	-0.018	0.426
86.882	274.000	26.410	-0.048	0.377
87.082	274.000	34.176	-0.025	0.421
87.282	274.000	42.882	-0.019	0.400
87.482	274.000	50.349	-0.019	0.400
87.682	274.000	59.188	-0.046	0.391
87.882	274.000	67.532	-0.027	0.399
88.082	274.000	75.406	-0.029	0.422
88.282	274.000	83.407	-0.019	0.389
88.482	274.000	90.100	-0.049	0.400
88.682	274.000	90.075	-0.007	0.410
88.882	274.000	86.913	-0.026	0.408
89.082	274.000	77.870	-0.011	0.406
89.282	274.000	70.320	-0.042	0.378
89.482	274.000	61.944	-0.028	0.408
89.682	274.000	53.061	-0.036	0.403
89.882	274.000	45.485	-0.006	0.415
90.082	274.000	37.706	-0.024	0.402
90.282	274.000	30.194	-0.056	0.386
90.482	274.000	22.581	-0.015	0.419
90.682	274.000	14.256	-0.043	0.395
90.882	274.000	6.293	-0.004	0.409
90.982	274.000	0.826	-0.044	0.395
91.182	274.000	0.940	-0.049	0.383
91.382	274.000	5.042	-0.024	0.417
91.582	274.000	12.738	-0.046	0.383
91.782	274.000	20.587	-0.033	0.406
91.983	274.000	28.378	-0.034	0.407
92.183	274.000	36.760	-0.039	0.385
92.382	274.000	44.317	-0.039	0.404
92.582	274.000	52.756	-0.046	0.380
92.782	274.000	60.395	-0.028	0.415
92.982	274.000	68.885	-0.015	0.386
93.182	274.000	79.674	-0.037	0.395
93.382	274.000	87.516	-0.025	0.398
93.582	274.000	90.126	-0.044	0.424
93.782	274.000	87.719	-0.032	0.397
93.982	274.000	79.585	-0.046	0.399
94.183	274.000	71.444	-0.035	0.405
94.382	274.000	63.303	-0.010	0.415
94.582	274.000	55.874	-0.041	0.395
94.782	274.000	47.708	-0.017	0.397
94.982	274.000	39.745	-0.070	0.382
95.183	274.000	32.296	-0.016	0.415
95.382	274.000	24.225	-0.044	0.404
95.582	274.000	16.345	-0.028	0.402
95.782	274.000	7.957	-0.050	0.393
95.982	274.000	0.965	-0.055	0.398
96.182	274.000	0.908	-0.024	0.416
96.282	274.000	1.041	-0.072	0.377
96.482	274.000	7.341	-0.050	0.393
96.682	274.000	15.272	-0.029	0.416
96.882	274.000	22.822	-0.060	0.382
97.082	274.000	30.702	-0.055	0.399
97.282	274.000	38.335	-0.045	0.400
97.482	274.000	45.904	-0.058	0.412
97.682	274.000	53.696	-0.065	0.403
97.882	274.000	61.989	-0.082	0.407
98.082	274.000	70.142	-0.056	0.402
98.282	274.000	78.277	-0.054	0.419
98.482	274.000	86.176	-0.060	0.402
98.683	274.000	90.100	-0.080	0.389
98.882	274.000	89.688	-0.072	0.409
99.082	274.000	81.382	-0.049	0.408
99.282	274.000	73.324	-0.101	0.397
99.482	274.000	62.624	-0.062	0.402
99.682	274.000	53.962	-0.090	0.394
99.882	274.000	46.450	-0.052	0.417
100.082	274.000	38.322	-0.052	0.408
100.282	274.000	30.194	-0.056	0.391
100.482	274.000	22.682	-0.049	0.403
100.682	274.000	14.643	-0.051	0.400
100.882	274.000	6.661	-0.023	0.412
101.082	274.000	0.813	-0.052	0.400
101.282	274.000	0.946	-0.048	0.400
101.482	274.000	3.207	-0.035	0.389
101.682	274.000	11.970	-0.056	0.391
101.882	274.000	19.876	-0.026	0.400
102.082	274.000	27.502	-0.049	0.392
102.182	274.000	34.538	-0.035	0.424
102.382	274.000	42.590	-0.042	0.397
102.582	274.000	50.286	-0.050	0.401
102.782	274.000	57.849	-0.033	0.411
102.982	274.000	65.710	-0.030	0.410
103.183	274.000	73.774	-0.036	0.408
103.382	274.000	81.566	-0.042	0.384
103.582	274.000	89.326	-0.060	0.405
103.782	274.000	90.018	-0.011	0.414
103.982	274.000	89.802	-0.054	0.396
104.182	274.000	83.630	-0.045	0.390
104.382	274.000	75.425	-0.052	0.401
104.582	274.000	66.662	-0.044	0.400
104.782	274.000	59.055	-0.031	0.407
104.982	274.000	51.086	-0.058	0.398
105.182	274.000	43.015	-0.034	0.402
105.382	274.000	34.633	-0.059	0.404
105.582	274.000	26.842	-0.037	0.405
105.782	274.000	18.371	-0.044	0.404
105.982	274.000	10.306	-0.066	0.392
