TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
8593.874	274.000	0.889	0.128	0.285
8594.074	274.000	0.927	0.076	0.264
8594.273	274.000	0.978	0.099	0.288
8594.473	274.000	4.159	0.112	0.298
8594.673	274.000	15.392	0.106	0.274
8594.874	274.000	25.000	0.099	0.278
8595.074	274.000	35.300	0.061	0.284
8595.273	274.000	45.339	0.074	0.285
8595.473	274.000	54.839	0.067	0.280
8595.674	274.000	65.030	0.040	0.273
8595.874	274.000	75.317	0.029	0.298
8596.074	274.000	85.052	0.024	0.292
8596.274	274.000	90.075	0.005	0.275
8596.474	274.000	90.056	-0.027	0.270
8596.673	274.000	90.024	0.008	0.301
8596.874	274.000	85.052	-0.007	0.289
8597.074	274.000	75.051	0.008	0.274
8597.274	274.000	65.602	-0.001	0.273
8597.474	274.000	54.794	-0.008	0.291
8597.674	274.000	44.895	0.002	0.297
8597.874	274.000	34.931	0.014	0.281
8598.074	274.000	24.873	-0.013	0.276
8598.273	274.000	13.913	0.003	0.293
8598.474	274.000	4.255	-0.003	0.296
8598.673	274.000	0.876	-0.009	0.275
8598.874	274.000	1.740	-0.027	0.269
8599.074	274.000	12.294	-0.048	0.290
8599.273	274.000	21.622	-0.027	0.292
8599.473	274.000	31.934	-0.028	0.278
8599.673	274.000	45.942	-0.063	0.262
8599.874	274.000	55.709	-0.028	0.307
8600.073	274.000	65.596	0.015	0.296
8600.274	274.000	75.737	0.044	0.287
8600.474	274.000	86.760	0.033	0.274
8600.674	274.000	90.094	0.027	0.287
8600.874	274.000	90.050	0.051	0.286
8601.073	274.000	87.516	0.069	0.303
8601.273	274.000	77.216	0.037	0.259
8601.473	274.000	66.808	0.064	0.299
8601.674	274.000	56.756	0.072	0.283
8601.874	274.000	47.219	0.078	0.275
8602.073	274.000	37.097	0.065	0.266
8602.274	274.000	27.121	0.077	0.293
8602.474	274.000	17.628	0.093	0.294
8602.674	274.000	7.461	0.123	0.283
8602.874	274.000	0.883	0.073	0.254
8603.073	274.000	1.137	0.083	0.291
8603.274	274.000	8.395	0.104	0.296
8603.473	274.000	18.256	0.114	0.291
8603.674	274.000	29.045	0.085	0.268
8603.873	274.000	38.354	0.096	0.295
8604.073	274.000	49.098	0.084	0.283
8604.273	274.000	59.030	0.105	0.275
8604.474	274.000	69.945	0.078	0.278
8604.673	274.000	79.432	0.080	0.293
8604.874	274.000	89.211	0.105	0.301
8605.073	274.000	90.037	0.084	0.270
8605.273	274.000	89.796	0.077	0.269
8605.473	274.000	82.576	0.065	0.294
8605.674	274.000	68.993	0.074	0.295
8605.874	274.000	58.147	0.074	0.275
8606.073	274.000	48.635	0.047	0.267
8606.273	274.000	38.367	0.028	0.289
8606.473	274.000	28.448	0.044	0.289
8606.674	274.000	18.898	0.064	0.300
8606.874	274.000	8.693	0.035	0.262
8607.074	274.000	0.908	0.045	0.307
8607.273	274.000	1.124	0.025	0.284
8607.474	274.000	8.376	0.054	0.297
8607.674	274.000	18.371	0.028	0.276
8607.874	274.000	28.200	0.019	0.290
8608.073	274.000	37.929	0.043	0.296
8608.274	274.000	47.981	0.038	0.282
8608.473	274.000	58.814	0.009	0.260
8608.674	274.000	68.428	0.020	0.301
8608.874	274.000	78.740	0.030	0.292
8609.074	274.000	88.621	0.049	0.287
8609.274	274.000	90.113	0.029	0.273
8609.474	274.000	90.037	0.023	0.278
8609.673	274.000	89.288	0.029	0.299
8609.874	274.000	78.467	0.034	0.274
8610.073	274.000	69.577	0.032	0.268
8610.273	274.000	59.481	0.027	0.299
8610.473	274.000	48.597	0.041	0.298
8610.674	274.000	39.027	0.044	0.276
8610.873	274.000	24.987	0.037	0.271
8611.073	274.000	14.872	0.009	0.288
8611.274	274.000	5.080	0.045	0.307
8611.473	274.000	0.908	0.049	0.290
8611.674	274.000	0.940	0.026	0.252
