TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
351.229	274.000	62.617	-0.488	0.550
351.429	274.000	77.153	-0.545	0.514
351.629	274.000	88.926	-0.518	0.558
351.829	274.000	90.069	-0.503	0.553
352.029	274.000	87.268	-0.537	0.540
352.230	274.000	73.647	-0.531	0.543
352.429	274.000	60.319	-0.526	0.528
352.629	274.000	46.908	-0.533	0.536
352.730	274.000	35.287	-0.520	0.548
352.929	274.000	21.482	-0.525	0.551
353.129	274.000	8.052	-0.538	0.544
353.329	274.000	0.870	-0.543	0.555
353.529	274.000	0.921	-0.543	0.526
353.729	274.000	3.594	-0.543	0.529
353.829	274.000	15.405	-0.473	0.569
354.029	274.000	28.956	-0.503	0.550
354.229	274.000	42.507	-0.545	0.519
354.429	274.000	55.194	-0.515	0.571
354.629	274.000	69.082	-0.510	0.540
354.829	274.000	82.525	-0.532	0.546
355.030	274.000	90.069	-0.518	0.548
355.229	274.000	90.056	-0.506	0.540
355.429	274.000	82.811	-0.507	0.543
355.629	274.000	69.190	-0.489	0.555
355.729	274.000	57.360	-0.536	0.522
355.929	274.000	43.567	-0.517	0.544
356.129	274.000	30.017	-0.520	0.559
356.329	274.000	17.215	-0.506	0.543
356.530	274.000	3.766	-0.542	0.539
356.729	274.000	0.883	-0.502	0.563
356.829	274.000	0.940	-0.540	0.515
357.029	274.000	6.617	-0.528	0.542
357.229	274.000	19.971	-0.529	0.567
357.430	274.000	32.906	-0.532	0.538
357.629	274.000	46.590	-0.545	0.544
357.830	274.000	60.071	-0.532	0.552
358.029	274.000	74.232	-0.521	0.541
358.229	274.000	88.049	-0.553	0.537
358.430	274.000	90.126	-0.519	0.546
358.629	274.000	88.881	-0.540	0.533
358.830	274.000	75.190	-0.534	0.550
359.029	274.000	61.709	-0.521	0.549
359.229	274.000	43.167	-0.534	0.548
359.431	274.000	28.505	-0.542	0.552
359.629	274.000	15.043	-0.530	0.561
359.830	274.000	2.642	-0.541	0.523
360.030	274.000	0.883	-0.542	0.569
360.230	274.000	0.946	-0.543	0.531
360.429	274.000	1.238	-0.562	0.528
360.529	274.000	10.605	-0.572	0.551
360.730	274.000	23.781	-0.529	0.555
360.929	274.000	36.824	-0.548	0.532
361.130	274.000	49.968	-0.555	0.563
361.329	274.000	63.341	-0.548	0.541
361.529	274.000	78.429	-0.546	0.535
361.729	274.000	89.326	-0.544	0.571
361.930	274.000	90.100	-0.541	0.533
362.129	274.000	88.913	-0.573	0.532
362.329	274.000	75.337	-0.538	0.558
362.529	274.000	61.938	-0.541	0.548
362.729	274.000	43.472	-0.560	0.536
362.929	274.000	28.886	-0.550	0.561
363.129	274.000	15.304	-0.537	0.537
363.329	274.000	2.737	-0.563	0.545
363.530	274.000	0.940	-0.546	0.552
363.730	274.000	0.953	-0.569	0.521
363.929	274.000	1.594	-0.580	0.559
364.130	274.000	13.837	-0.556	0.553
364.330	274.000	28.366	-0.565	0.544
364.530	274.000	42.602	-0.593	0.547
364.730	274.000	56.236	-0.565	0.566
364.930	274.000	70.834	-0.595	0.527
365.129	274.000	88.818	-0.582	0.566
365.329	274.000	90.037	-0.560	0.557
365.529	274.000	90.030	-0.556	0.540
365.729	274.000	84.296	-0.577	0.545
365.930	274.000	70.599	-0.551	0.542
366.130	274.000	57.512	-0.560	0.537
366.329	274.000	43.783	-0.553	0.561
366.529	274.000	30.321	-0.529	0.566
366.729	274.000	16.021	-0.551	0.526
366.930	274.000	3.200	-0.557	0.564
367.029	274.000	0.870	-0.532	0.567
367.229	274.000	1.099	-0.564	0.528
367.429	274.000	9.366	-0.559	0.551
367.630	274.000	22.422	-0.555	0.547
367.831	274.000	35.503	-0.553	0.534
368.030	274.000	49.797	-0.592	0.558
368.229	274.000	64.326	-0.570	0.536
368.430	274.000	77.934	-0.539	0.539
368.629	274.000	89.897	-0.533	0.550
368.829	274.000	90.081	-0.502	0.554
369.029	274.000	90.018	-0.531	0.528
369.229	274.000	83.007	-0.599	0.561
369.430	274.000	69.622	-0.601	0.546
369.629	274.000	54.699	-0.614	0.549
369.829	274.000	42.120	-0.566	0.555
370.030	274.000	28.556	-0.579	0.549
370.230	274.000	14.948	-0.560	0.539
370.430	274.000	2.711	-0.565	0.556
370.629	274.000	0.933	-0.534	0.566
370.829	274.000	7.836	-0.604	0.522
371.029	274.000	22.428	-0.580	0.558
