8.950	0.001	-4.959	-0.053
9.051	0.038	-4.950	-0.062
9.150	0.281	-4.969	-0.060
9.250	0.723	-4.952	-0.049
9.351	1.365	-4.942	-0.055
9.451	2.199	-4.956	-0.063
9.551	3.207	-4.971	-0.049
9.651	4.224	-4.951	-0.043
9.751	5.237	-4.952	-0.040
9.851	6.257	-4.958	-0.061
9.951	7.277	-4.971	-0.056
10.050	8.290	-4.956	-0.051
10.151	9.306	-4.954	-0.050
10.251	10.327	-4.970	-0.058
10.351	11.346	-4.960	-0.046
10.451	12.359	-4.952	-0.035
10.551	13.376	-4.956	-0.045
10.651	14.394	-4.969	-0.065
10.751	15.408	-4.964	-0.054
10.851	16.427	-4.956	-0.038
10.951	17.446	-4.957	-0.049
11.051	18.466	-4.964	-0.047
11.151	19.478	-4.955	-0.042
11.250	20.496	-4.955	-0.039
11.350	21.516	-4.965	-0.052
11.451	22.531	-4.974	-0.053
11.551	23.550	-4.953	-0.036
11.651	24.567	-4.948	-0.038
11.751	25.589	-4.963	-0.042
11.851	26.604	-4.977	-0.058
11.951	27.620	-4.958	-0.038
12.051	28.638	-4.960	-0.043
12.151	29.653	-4.960	-0.052
12.251	30.674	-4.966	-0.039
12.351	31.692	-4.946	-0.029
12.451	32.703	-4.954	-0.048
12.551	33.723	-4.965	-0.047
12.651	34.740	-4.975	-0.039
12.751	35.757	-4.959	-0.035
12.851	36.773	-4.957	-0.043
12.951	37.794	-4.963	-0.040
13.051	38.810	-4.958	-0.028
13.151	39.825	-4.957	-0.039
13.251	40.842	-4.962	-0.052
13.351	41.860	-4.981	-0.057
13.450	42.873	-4.968	-0.031
13.551	43.890	-4.954	-0.031
13.651	44.909	-4.956	-0.040
13.751	45.930	-4.975	-0.046
13.851	46.943	-4.959	-0.036
13.951	47.962	-4.962	-0.045
14.051	48.981	-4.971	-0.053
14.151	49.996	-4.972	-0.043
14.251	51.011	-4.955	-0.031
14.351	52.032	-4.956	-0.037
14.451	53.047	-4.969	-0.054
14.551	54.063	-4.974	-0.048
14.651	55.082	-4.959	-0.042
14.751	56.103	-4.963	-0.048
14.851	57.119	-4.972	-0.062
14.951	58.136	-4.965	-0.031
15.051	59.151	-4.956	-0.034
15.151	60.173	-4.962	-0.047
15.251	61.189	-4.974	-0.062
15.351	62.205	-4.961	-0.048
15.451	63.220	-4.955	-0.047
15.551	64.236	-4.960	-0.049
15.651	65.258	-4.952	-0.053
15.751	66.276	-4.950	-0.043
15.851	67.293	-4.947	-0.061
15.951	68.308	-4.958	-0.075
16.051	69.323	-4.968	-0.073
16.151	70.346	-4.943	-0.060
16.251	71.360	-4.945	-0.053
16.350	72.375	-4.954	-0.073
16.451	73.395	-4.966	-0.075
16.551	74.410	-4.952	-0.067
16.651	75.427	-4.953	-0.060
16.751	76.445	-4.967	-0.075
16.851	77.462	-4.965	-0.059
16.951	78.479	-4.951	-0.050
17.051	79.497	-4.953	-0.059
17.151	80.515	-4.964	-0.069
17.251	81.531	-4.963	-0.062
17.351	82.549	-4.952	-0.053
17.451	83.564	-4.956	-0.061
17.550	84.582	-4.965	-0.067
17.650	85.599	-4.955	-0.047
17.751	86.616	-4.953	-0.051
17.851	87.634	-4.960	-0.072
17.951	88.651	-4.974	-0.070
18.051	89.667	-4.967	-0.055
18.151	90.687	-4.948	-0.051
18.251	91.704	-4.962	-0.057
18.351	92.721	-4.966	-0.069
18.451	93.736	-4.958	-0.055
18.551	94.753	-4.954	-0.070
18.651	95.773	-4.954	-0.086
18.751	96.790	-4.969	-0.078
18.851	97.807	-4.941	-0.064
18.951	98.825	-4.953	-0.065
19.051	99.840	-4.955	-0.074
19.151	100.860	-4.967	-0.061
19.251	101.878	-4.951	-0.063
19.351	102.895	-4.951	-0.075
19.451	103.910	-4.965	-0.074
19.551	104.928	-4.955	-0.063
19.651	105.945	-4.945	-0.065
19.750	106.960	-4.952	-0.079
19.851	107.980	-4.967	-0.116
19.951	108.997	-4.965	-0.107
20.051	110.017	-4.956	-0.100
20.151	111.033	-4.951	-0.099
20.251	112.050	-4.968	-0.096
20.351	113.065	-4.954	-0.073
20.451	114.082	-4.943	-0.083
20.551	115.099	-4.958	-0.085
20.651	116.117	-4.967	-0.093
20.751	117.134	-4.958	-0.056
20.851	118.151	-4.944	-0.062
20.951	119.168	-4.955	-0.079
21.051	120.185	-4.959	-0.074
21.151	121.203	-4.954	-0.070
21.251	122.221	-4.952	-0.071
21.351	123.238	-4.967	-0.092
21.451	124.254	-4.964	-0.074
21.551	125.272	-4.949	-0.062
21.651	126.289	-4.950	-0.054
21.751	127.307	-4.966	-0.076
21.850	128.322	-4.966	-0.082
21.951	129.342	-4.950	-0.069
22.051	130.356	-4.960	-0.076
22.151	131.376	-4.959	-0.077
22.251	132.396	-4.964	-0.064
22.351	133.413	-4.942	-0.050
22.451	134.426	-4.963	-0.076
22.551	135.445	-4.960	-0.076
22.651	136.463	-4.966	-0.069
22.751	137.481	-4.953	-0.055
22.851	138.499	-4.956	-0.071
22.951	139.516	-4.960	-0.065
23.051	140.534	-4.955	-0.054
23.151	141.552	-4.944	-0.058
23.251	142.569	-4.962	-0.070
23.351	143.587	-4.981	-0.088
23.451	144.601	-4.954	-0.059
23.551	145.619	-4.948	-0.059
23.651	146.637	-4.945	-0.052
23.751	147.654	-4.977	-0.062
23.851	148.670	-4.946	-0.057
23.950	149.682	-4.960	-0.060
24.051	150.704	-4.963	-0.071
24.151	151.722	-4.967	-0.066
24.251	152.741	-4.948	-0.046
24.351	153.757	-4.943	-0.056
