769.438	0.000	89.669	-0.156	0.723
770.989	0.000	89.669	-0.157	0.732
772.538	0.000	89.669	-0.153	0.727
774.091	0.000	89.669	-0.152	0.734
775.646	0.000	89.669	-0.162	0.720
777.202	0.000	89.669	-0.154	0.725
778.756	0.000	89.669	-0.159	0.715
780.309	0.000	89.669	-0.157	0.716
781.862	0.000	89.669	-0.162	0.713
783.418	0.000	89.669	-0.170	0.709
784.976	0.000	89.669	-0.165	0.708
786.526	0.000	89.669	-0.167	0.710
788.077	0.000	89.669	-0.169	0.707
789.628	0.000	89.669	-0.167	0.718
791.179	0.000	89.669	-0.168	0.710
792.729	0.000	89.669	-0.157	0.716
794.278	0.000	89.669	-0.155	0.715
795.826	0.000	89.669	-0.140	0.715
797.380	0.000	89.669	-0.130	0.713
798.928	0.000	89.669	-0.104	0.716
800.478	0.000	89.669	-0.101	0.714
802.029	0.000	89.669	-0.119	0.717
803.577	0.000	89.669	-0.132	0.713
805.125	0.000	89.669	-0.134	0.714
806.676	0.000	89.669	-0.145	0.717
808.236	0.000	89.669	-0.144	0.714
809.792	0.000	89.669	-0.145	0.716
811.345	0.000	89.669	-0.155	0.710
812.895	0.000	89.669	-0.149	0.715
814.447	0.000	89.669	-0.153	0.709
815.997	0.000	89.669	-0.154	0.711
817.551	0.000	89.669	-0.151	0.712
819.100	0.000	89.669	-0.155	0.714
820.645	0.000	89.669	-0.166	0.714

