929.141	0.000	89.669	1.202	0.587
930.693	0.000	89.669	1.203	0.581
932.249	0.000	89.669	1.212	0.584
933.805	0.000	89.669	1.209	0.590
935.360	0.000	89.669	1.203	0.586
936.916	0.000	89.669	1.195	0.578
938.463	0.000	89.669	1.200	0.581
940.012	0.000	89.669	1.199	0.578
941.568	0.000	89.669	1.203	0.577
943.122	0.000	89.669	1.200	0.574
944.674	0.000	89.669	1.200	0.575
946.222	0.000	89.669	1.193	0.574
947.768	0.000	89.669	1.195	0.572
949.317	0.000	89.669	1.194	0.572
950.859	0.000	89.669	1.193	0.567
952.412	0.000	89.669	1.195	0.576
953.959	0.000	89.669	1.192	0.570
955.506	0.000	89.669	1.195	0.564
957.051	0.000	89.669	1.201	0.572
958.613	0.000	89.669	1.198	0.566
960.172	0.000	89.669	1.192	0.568
961.725	0.000	89.669	1.188	0.574
963.277	0.000	89.669	1.185	0.571
964.826	0.000	89.669	1.187	0.583
966.382	0.000	89.669	1.182	0.579
967.934	0.000	89.669	1.192	0.589
969.491	0.000	89.669	1.182	0.594
971.038	0.000	89.669	1.184	0.589
972.587	0.000	89.669	1.180	0.594
974.145	0.000	89.669	1.176	0.585
975.702	0.000	89.669	1.175	0.592
977.260	0.000	89.669	1.172	0.586
978.814	0.000	89.669	1.166	0.579
980.370	0.000	89.669	1.172	0.582
981.925	0.000	89.669	1.165	0.575
