TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
111.628	135.762	0.192	-0.231
113.290	135.762	0.196	-0.237
114.952	135.762	0.197	-0.268
116.613	135.762	0.207	-0.252
118.275	135.762	0.195	-0.270
119.936	135.762	0.192	-0.273
121.598	135.762	0.189	-0.266
123.263	135.762	0.185	-0.269
124.926	135.762	0.175	-0.280
126.588	135.762	0.168	-0.302
128.249	135.762	0.182	-0.284
129.910	135.762	0.176	-0.304
131.574	135.762	0.184	-0.302
133.240	135.762	0.177	-0.308
134.905	135.762	0.197	-0.286
136.568	135.762	0.199	-0.288
138.234	135.762	0.191	-0.298
139.899	135.762	0.192	-0.282
141.564	135.762	0.179	-0.290
143.231	135.762	0.193	-0.280
144.894	135.762	0.167	-0.306
146.555	135.762	0.172	-0.287
148.218	135.762	0.170	-0.299
149.881	135.762	0.165	-0.316
151.546	135.762	0.172	-0.309
153.215	135.762	0.173	-0.308
154.882	135.762	0.192	-0.293
156.551	135.762	0.178	-0.314
158.218	135.762	0.186	-0.292
159.885	135.762	0.192	-0.284
161.548	135.762	0.188	-0.283
163.209	135.762	0.170	-0.303
164.871	135.762	0.156	-0.308
166.532	135.762	0.177	-0.301
168.193	135.762	0.164	-0.319
169.852	135.762	0.174	-0.302
171.514	135.762	0.172	-0.320
173.178	135.762	0.187	-0.307
174.839	135.762	0.185	-0.319
176.504	135.762	0.179	-0.308
178.165	135.762	0.179	-0.315
179.831	135.762	0.187	-0.294
181.494	135.762	0.184	-0.296
183.156	135.762	0.171	-0.306
184.821	135.762	0.177	-0.291
186.482	135.762	0.171	-0.306
188.146	135.762	0.172	-0.293
189.811	135.762	0.165	-0.309
191.475	135.762	0.168	-0.319
193.143	135.762	0.174	-0.312
194.810	135.762	0.161	-0.325
196.478	135.762	0.187	-0.302
198.144	135.762	0.171	-0.318
199.807	135.762	0.183	-0.308
201.472	135.762	0.178	-0.300
203.138	135.762	0.180	-0.304
204.803	135.762	0.189	-0.298
206.469	135.762	0.151	-0.312
208.133	135.762	0.173	-0.301
209.799	135.762	0.159	-0.310
211.461	135.762	0.185	-0.296
213.124	135.762	0.158	-0.320
214.789	135.762	0.169	-0.314
216.450	135.762	0.165	-0.314
218.115	135.762	0.169	-0.323
219.777	135.762	0.183	-0.315
221.439	135.762	0.164	-0.321
223.100	135.762	0.195	-0.303
224.765	135.762	0.173	-0.316
226.429	135.762	0.235	-0.216
228.093	135.762	0.196	-0.256
