TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
88.402	73.996	89.821	5.296	0.463
90.063	73.996	89.821	5.295	0.477
91.724	73.996	89.821	5.294	0.495
93.386	73.996	89.821	5.297	0.483
95.051	73.996	89.821	5.297	0.475
96.718	73.996	89.821	5.296	0.493
98.382	73.996	89.821	5.297	0.473
100.046	73.996	89.821	5.297	0.478
101.710	73.996	89.821	5.295	0.471
103.374	73.996	89.821	5.297	0.489
105.037	73.996	89.821	5.297	0.476
106.697	73.996	89.821	5.295	0.476
108.358	73.996	89.821	5.297	0.468
110.023	73.996	89.821	5.296	0.476
111.687	73.996	89.821	5.297	0.482
113.353	73.996	89.821	5.297	0.474
115.017	73.996	89.821	5.296	0.492
116.679	73.996	89.821	5.296	0.478
118.349	73.996	89.821	5.296	0.478
120.019	73.996	89.821	5.297	0.472
121.684	73.996	89.821	5.293	0.489
123.353	73.996	89.821	5.293	0.457
125.015	73.996	89.821	5.295	0.468
126.678	73.996	89.821	5.296	0.476
128.341	73.996	89.821	5.296	0.466
130.001	73.996	89.821	5.290	0.460
131.662	73.996	89.821	5.289	0.461
133.325	73.996	89.821	5.291	0.461
134.989	73.996	89.821	5.294	0.459
136.652	73.996	89.821	5.295	0.468
138.318	73.996	89.821	5.296	0.455
139.982	73.996	89.821	5.295	0.462
141.642	73.996	89.821	5.287	0.440
143.302	73.996	89.821	5.297	0.468
144.963	73.996	89.821	5.296	0.450
146.623	73.996	89.821	5.297	0.441
148.285	73.996	89.821	5.295	0.450
149.948	73.996	89.821	5.294	0.453
151.607	73.996	89.821	5.295	0.455
153.273	73.996	89.821	5.297	0.447
154.937	73.996	89.821	5.297	0.457
156.600	73.996	89.821	5.295	0.454
158.265	73.996	89.821	5.295	0.448
