TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
10.148	73.996	89.821	-2.471	0.278
11.814	73.996	89.821	-2.482	0.270
13.479	73.996	89.821	-2.458	0.265
15.144	73.996	89.821	-2.460	0.259
16.806	73.996	89.821	-2.449	0.272
18.467	73.996	89.821	-2.450	0.273
20.130	73.996	89.821	-2.467	0.269
21.787	73.996	89.821	-2.454	0.271
23.445	73.996	89.821	-2.463	0.278
25.105	73.996	89.821	-2.451	0.286
26.766	73.996	89.821	-2.472	0.259
28.430	73.996	89.821	-2.453	0.271
30.093	73.996	89.821	-2.468	0.257
31.758	73.996	89.821	-2.446	0.267
33.426	73.996	89.821	-2.463	0.259
35.091	73.996	89.821	-2.458	0.259
36.756	73.996	89.821	-2.445	0.267
38.419	73.996	89.821	-2.442	0.269
40.079	73.996	89.821	-2.450	0.256
41.742	73.996	89.821	-2.448	0.260
43.405	73.996	89.821	-2.447	0.264
45.069	73.996	89.821	-2.450	0.253
46.736	73.996	89.821	-2.436	0.269
48.403	73.996	89.821	-2.450	0.251
50.067	73.996	89.821	-2.421	0.276
51.734	73.996	89.821	-2.440	0.263
53.402	73.996	89.821	-2.441	0.267
55.070	73.996	89.821	-2.435	0.275
56.736	73.996	89.821	-2.442	0.274
58.399	73.996	89.821	-2.434	0.270
