424.076	0.000	-3.715	-0.081
425.623	0.000	-3.708	-0.067
427.177	0.000	-3.698	-0.079
428.731	0.000	-3.698	-0.075
430.282	0.000	-3.708	-0.069
431.834	0.000	-3.707	-0.041
433.386	0.000	-3.701	-0.045
434.940	0.000	-3.708	-0.028
436.492	0.000	-3.700	-0.021
438.045	0.000	-3.703	-0.000
439.601	0.000	-3.695	0.016
441.155	0.000	-3.696	0.039
442.705	0.000	-3.692	0.043
444.259	0.000	-3.687	0.043
445.809	0.000	-3.670	0.049
447.358	0.000	-3.671	0.057
448.916	0.000	-3.668	0.079
450.474	0.000	-3.668	0.081
452.030	0.000	-3.654	0.090
453.586	0.000	-3.658	0.101
455.133	0.000	-3.645	0.113
456.682	0.000	-3.645	0.127
458.236	0.000	-3.636	0.145
459.784	0.000	-3.631	0.155
461.335	0.000	-3.624	0.170
462.886	0.000	-3.623	0.173
