TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
14.636	0.000	-4.817	0.160
14.836	0.232	-4.829	0.157
14.935	0.641	-4.831	0.150
15.036	1.249	-4.800	0.184
15.136	2.057	-4.815	0.162
15.235	3.045	-4.839	0.161
15.336	4.066	-4.839	0.167
15.436	5.083	-4.814	0.174
15.535	6.098	-4.818	0.176
15.636	7.118	-4.841	0.170
15.736	8.136	-4.839	0.171
15.835	9.151	-4.826	0.182
15.936	10.167	-4.815	0.177
16.036	11.184	-4.839	0.183
16.136	12.200	-4.832	0.188
16.236	13.220	-4.811	0.185
16.335	14.232	-4.821	0.167
16.435	15.251	-4.837	0.172
16.536	16.273	-4.831	0.178
16.636	17.290	-4.830	0.193
16.735	18.301	-4.816	0.173
16.836	19.321	-4.840	0.162
16.936	20.338	-4.827	0.190
17.035	21.357	-4.818	0.183
17.136	22.372	-4.828	0.172
17.236	23.393	-4.845	0.169
17.335	24.407	-4.839	0.178
17.436	25.430	-4.812	0.194
17.535	26.444	-4.812	0.189
17.636	27.461	-4.832	0.185
17.736	28.481	-4.844	0.184
17.835	29.493	-4.817	0.189
17.935	30.515	-4.813	0.187
18.036	31.532	-4.831	0.171
18.135	32.546	-4.835	0.173
18.235	33.564	-4.830	0.161
18.336	34.584	-4.062	0.123
18.436	35.601	-2.561	-0.011
18.535	36.615	-2.574	-0.021
18.636	37.637	-2.568	-0.050
18.735	38.649	-2.567	-0.070
18.836	39.666	-2.563	-0.077
18.936	40.685	-2.557	-0.075
19.035	41.703	-2.537	-0.055
19.135	42.718	-2.534	-0.088
19.236	43.736	-2.508	-0.087
19.335	44.752	-2.501	-0.090
19.435	45.767	-2.467	-0.070
19.536	46.786	-2.457	-0.100
19.635	47.803	-2.447	-0.115
19.735	48.820	-2.424	-0.100
19.836	49.836	-2.400	-0.090
19.935	50.854	-2.391	-0.099
20.035	51.874	-2.409	-0.141
20.136	52.888	-2.391	-0.132
20.235	53.906	-2.367	-0.112
20.335	54.925	-2.357	-0.112
20.436	55.945	-2.365	-0.151
20.535	56.956	-2.365	-0.142
20.635	57.971	-2.333	-0.130
20.736	58.994	-2.324	-0.130
