TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
305.867	0.001	-4.885	0.164
306.067	0.201	-4.837	0.191
306.167	0.636	-4.850	0.149
306.368	1.918	-4.843	0.164
306.467	2.982	-4.867	0.149
306.667	4.941	-4.837	0.190
306.767	6.029	-4.852	0.165
306.967	7.998	-4.865	0.168
307.167	10.122	-4.889	0.154
307.368	12.105	-4.829	0.205
307.568	14.278	-4.871	0.138
307.767	16.156	-4.860	0.173
307.967	18.279	-4.862	0.176
308.168	20.306	-4.859	0.150
308.368	22.337	-4.848	0.177
308.567	24.359	-4.835	0.171
308.767	26.349	-4.856	0.143
308.967	28.453	-4.870	0.170
309.167	30.449	-4.850	0.159
309.367	32.458	-4.844	0.153
309.568	34.424	-4.703	0.035
309.767	36.644	-4.205	-0.206
309.967	38.635	-4.141	-0.247
310.167	40.592	-4.073	-0.278
310.367	42.675	-3.961	-0.288
310.567	44.735	-3.926	-0.335
310.767	46.718	-3.871	-0.335
310.967	48.788	-3.792	-0.342
311.167	50.809	-3.751	-0.379
311.367	52.858	-3.732	-0.401
311.567	54.888	-3.648	-0.354
311.767	56.892	-3.648	-0.425
311.967	58.909	-3.586	-0.414
312.167	60.943	-3.557	-0.412
312.367	62.925	-3.498	-0.430
312.567	65.018	-3.495	-0.441
312.767	66.985	-3.450	-0.425
312.867	68.131	-3.421	-0.432
313.067	70.149	-3.424	-0.459
313.267	72.131	-3.389	-0.451
313.467	74.133	-3.366	-0.448
313.667	76.160	-3.329	-0.458
313.867	78.261	-3.319	-0.456
314.067	80.363	-3.292	-0.441
314.267	82.364	-3.282	-0.450
314.467	84.305	-3.271	-0.404
314.667	86.333	-3.248	-0.415
314.867	88.342	-3.207	-0.398
314.967	89.496	-3.223	-0.418
315.168	91.516	-3.210	-0.404
315.367	93.501	-3.150	-0.402
315.567	95.529	-3.190	-0.432
315.767	97.544	-3.142	-0.386
315.968	99.526	-3.118	-0.402
316.167	101.745	-3.124	-0.427
316.367	103.615	-3.113	-0.416
316.567	105.791	-3.077	-0.412
316.767	107.784	-3.073	-0.431
316.967	109.761	-3.050	-0.394
317.167	111.743	-3.018	-0.402
317.367	113.915	-3.003	-0.420
317.567	115.840	-3.023	-0.411
317.768	117.896	-2.979	-0.404
317.967	119.888	-2.952	-0.421
318.067	121.048	-2.969	-0.430
318.267	122.953	-2.956	-0.397
318.467	125.017	-2.914	-0.417
318.667	127.003	-2.921	-0.425
318.867	129.066	-2.902	-0.405
319.067	131.087	-2.864	-0.415
319.267	133.126	-2.868	-0.435
319.467	135.159	-2.868	-0.407
319.667	137.296	-2.812	-0.412
319.867	139.382	-2.790	-0.411
320.067	141.378	-2.825	-0.438
320.267	143.352	-2.776	-0.401
320.467	145.387	-2.740	-0.420
320.667	147.390	-2.751	-0.433
320.867	149.389	-2.698	-0.406
321.067	151.419	-2.703	-0.431
321.267	153.542	-2.695	-0.435
321.467	155.618	-2.674	-0.399
321.667	157.594	-2.623	-0.403
321.867	159.546	-2.657	-0.454
322.068	161.652	-2.616	-0.402
322.267	163.660	-2.591	-0.416
322.468	165.859	-2.564	-0.429
322.667	167.792	-2.579	-0.418
322.867	169.808	-2.532	-0.402
323.067	171.877	-2.529	-0.449
323.267	173.798	-2.517	-0.407
323.467	175.952	-2.496	-0.423
323.667	178.005	-2.448	-0.442
323.867	180.021	-2.474	-0.450
324.067	182.030	-2.444	-0.438
324.267	184.055	-2.404	-0.439
324.467	186.094	-2.425	-0.453
324.667	188.146	-2.387	-0.420
324.867	190.171	-2.387	-0.463
325.069	192.142	-2.365	-0.466
325.267	194.301	-2.358	-0.442
325.467	196.180	-2.305	-0.419
325.667	198.309	-2.305	-0.457
325.867	200.314	-2.305	-0.433
326.067	202.347	-2.289	-0.443
326.267	204.364	-2.234	-0.446
326.467	206.419	-2.273	-0.459
326.668	208.503	-2.197	-0.418
326.867	210.511	-2.224	-0.472
327.068	212.452	-2.188	-0.441
327.267	214.527	-2.177	-0.425
327.467	216.542	-2.146	-0.440
327.668	218.587	-2.128	-0.464
327.867	220.638	-2.131	-0.431
328.067	222.638	-2.086	-0.434
328.267	224.683	-2.068	-0.450
328.467	226.733	-2.089	-0.462
328.667	228.795	-2.033	-0.431
328.868	230.748	-2.012	-0.459
328.967	231.864	-2.009	-0.453
329.167	233.888	-2.007	-0.430
329.368	235.933	-1.976	-0.439
329.568	237.939	-1.964	-0.468
329.768	239.978	-1.958	-0.441
329.967	242.008	-1.948	-0.430
330.167	243.993	-1.883	-0.442
330.367	246.050	-1.930	-0.469
330.567	248.124	-1.872	-0.428
330.767	250.226	-1.858	-0.457
330.967	252.281	-1.842	-0.441
331.167	254.294	-1.853	-0.447
331.367	256.291	-1.768	-0.415
331.567	258.385	-1.801	-0.476
331.767	260.391	-1.814	-0.458
331.967	262.375	-1.758	-0.419
332.167	264.478	-1.724	-0.449
332.367	266.481	-1.727	-0.462
332.567	268.446	-1.737	-0.432
332.767	270.544	-1.684	-0.451
332.967	272.536	-1.696	-0.466
333.168	274.556	-1.666	-0.431
333.367	276.573	-1.649	-0.422
333.567	278.558	-1.626	-0.473
333.767	280.787	-1.631	-0.455
333.967	282.752	-1.603	-0.423
334.167	284.701	-1.580	-0.453
334.367	286.816	-1.580	-0.454
334.567	288.821	-1.593	-0.460
334.767	290.934	-1.542	-0.433
334.967	292.890	-1.533	-0.464
335.168	294.906	-1.538	-0.435
335.367	296.947	-1.493	-0.453
335.567	298.974	-1.471	-0.452
335.767	300.956	-1.524	-0.495
335.967	302.980	-1.474	-0.433
336.168	305.154	-1.437	-0.450
336.368	307.112	-1.441	-0.476
336.567	309.190	-1.420	-0.443
336.767	311.220	-1.419	-0.456
336.968	313.218	-1.375	-0.460
337.167	315.213	-1.402	-0.465
337.367	317.313	-1.353	-0.443
337.567	319.372	-1.336	-0.459
337.767	321.322	-1.340	-0.484
337.867	322.449	-1.356	-0.462
338.067	324.452	-1.289	-0.432
338.267	326.454	-1.289	-0.476
338.468	328.455	-1.309	-0.490
338.668	330.480	-1.289	-0.448
338.867	332.575	-1.246	-0.445
339.068	334.579	-1.249	-0.469
339.267	336.581	-1.261	-0.473
339.467	338.757	-1.231	-0.451
339.667	340.614	-1.202	-0.491
339.767	341.725	-1.194	-0.443
339.967	343.766	-1.231	-0.468
