TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
195.106	0.001	-4.623	0.141
195.306	0.014	-4.614	0.135
195.406	0.223	-4.613	0.148
195.506	0.627	-4.633	0.137
195.606	1.228	-4.621	0.150
195.706	2.027	-4.609	0.151
195.806	3.017	-4.616	0.148
195.906	4.036	-4.632	0.139
196.006	5.051	-4.630	0.159
196.106	6.070	-4.609	0.173
196.206	7.087	-4.625	0.163
196.306	8.101	-4.621	0.152
196.406	9.120	-4.617	0.171
196.506	10.137	-4.604	0.184
196.606	11.155	-4.635	0.151
196.706	12.170	-4.638	0.136
196.806	13.189	-4.614	0.163
196.906	14.205	-4.587	0.189
197.006	15.224	-4.618	0.168
197.106	16.241	-4.641	0.136
197.206	17.256	-4.619	0.140
197.306	18.272	-4.593	0.174
197.406	19.292	-4.622	0.150
197.506	20.309	-4.648	0.127
197.606	21.327	-4.616	0.145
197.706	22.344	-4.589	0.162
197.806	23.358	-4.602	0.159
197.906	24.380	-4.645	0.119
198.006	25.400	-4.628	0.131
198.106	26.414	-4.610	0.139
198.206	27.432	-4.608	0.133
198.306	28.447	-4.628	0.128
198.406	29.466	-4.627	0.120
198.506	30.485	-4.594	0.134
198.606	31.501	-4.607	0.107
198.706	32.516	-4.623	0.098
198.806	33.536	-4.615	0.107
198.906	34.554	-4.601	0.082
199.006	35.569	-4.388	0.055
199.106	36.587	-2.751	0.043
199.206	37.602	-2.766	0.051
199.306	38.622	-2.819	0.016
199.406	39.636	-2.852	-0.033
199.507	40.658	-2.862	-0.016
199.606	41.669	-2.826	-0.015
199.707	42.689	-2.792	-0.008
199.807	43.708	-2.793	-0.044
199.906	44.725	-2.780	-0.046
200.007	45.741	-2.729	-0.036
200.107	46.758	-2.681	-0.038
200.206	47.773	-2.682	-0.064
200.307	48.793	-2.675	-0.079
200.407	49.810	-2.642	-0.077
200.506	50.826	-2.576	-0.069
200.607	51.847	-2.569	-0.083
200.707	52.858	-2.581	-0.096
200.806	53.877	-2.564	-0.094
200.906	54.899	-2.532	-0.118
201.006	55.913	-2.520	-0.111
201.106	56.928	-2.514	-0.118
201.206	58.029	-2.488	-0.102
201.406	60.051	-2.445	-0.141
201.606	62.171	-2.435	-0.191
201.806	64.121	-2.409	-0.214
202.006	66.101	-2.350	-0.193
202.206	68.190	-2.343	-0.212
202.406	70.191	-2.356	-0.233
202.506	71.341	-2.278	-0.220
202.706	73.333	-2.298	-0.255
