TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
309.307	0.000	-4.793	0.385
309.508	0.058	-4.795	0.387
309.608	0.326	-4.799	0.378
309.708	0.790	-4.806	0.367
309.807	1.454	-4.802	0.388
309.908	2.316	-4.780	0.400
310.008	3.331	-4.787	0.383
310.107	4.346	-4.809	0.366
310.208	5.365	-4.807	0.385
310.308	6.383	-4.791	0.393
310.407	7.398	-4.791	0.392
310.508	8.418	-4.796	0.386
310.607	9.434	-4.807	0.410
310.708	10.450	-4.785	0.418
310.808	11.468	-4.793	0.399
310.908	12.487	-4.807	0.390
311.007	13.500	-4.802	0.396
311.108	14.520	-4.780	0.421
311.208	15.537	-4.781	0.407
311.307	16.550	-4.798	0.396
311.408	17.573	-4.804	0.395
311.508	18.590	-4.785	0.412
311.608	19.607	-4.794	0.397
311.708	20.625	-4.807	0.383
311.808	21.641	-4.797	0.393
311.907	22.657	-4.785	0.403
312.008	23.679	-4.777	0.397
312.108	24.695	-4.798	0.376
312.207	25.711	-4.802	0.385
312.308	26.731	-4.787	0.392
312.408	27.746	-4.789	0.393
312.507	28.761	-4.803	0.371
312.608	29.782	-4.803	0.370
312.707	30.796	-4.780	0.388
312.807	31.815	-4.778	0.379
312.908	32.832	-4.794	0.351
313.008	33.849	-4.806	0.338
313.107	34.864	-4.766	0.334
313.208	35.885	-3.140	0.013
313.308	36.903	-3.159	-0.080
313.408	37.918	-3.125	-0.094
313.508	38.937	-3.082	-0.113
313.608	39.954	-3.031	-0.112
313.708	40.970	-3.028	-0.146
313.808	41.987	-3.002	-0.147
313.908	43.003	-2.972	-0.143
314.007	44.019	-2.941	-0.146
314.108	45.038	-2.926	-0.159
314.208	46.055	-2.922	-0.179
314.307	47.069	-2.877	-0.157
314.408	48.088	-2.848	-0.159
314.508	49.106	-2.846	-0.186
314.608	50.122	-2.849	-0.201
314.708	51.139	-2.833	-0.189
314.807	52.157	-2.799	-0.177
314.907	53.172	-2.798	-0.197
315.008	54.194	-2.808	-0.208
315.108	55.211	-2.790	-0.198
315.208	56.225	-2.768	-0.195
315.308	57.245	-2.763	-0.212
315.408	58.261	-2.783	-0.230
315.507	59.279	-2.756	-0.217
315.608	60.299	-2.747	-0.214
315.708	61.314	-2.716	-0.216
315.807	62.329	-2.742	-0.238
315.908	63.347	-2.723	-0.228
316.008	64.366	-2.708	-0.223
316.107	65.382	-2.691	-0.229
316.208	66.403	-2.711	-0.246
316.308	67.420	-2.703	-0.235
316.407	68.434	-2.674	-0.227
316.508	69.454	-2.668	-0.235
316.608	70.472	-2.677	-0.243
316.707	71.487	-2.684	-0.247
316.808	72.504	-2.655	-0.234
316.907	73.520	-2.650	-0.241
317.007	74.536	-2.658	-0.256
317.108	75.556	-2.653	-0.245
317.208	76.574	-2.640	-0.245
317.308	77.591	-2.615	-0.239
317.408	78.607	-2.630	-0.255
317.508	79.626	-2.627	-0.257
317.608	80.640	-2.618	-0.242
