TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
3450.553	0.001	-4.804	0.098
3450.653	0.087	-4.801	0.097
3450.753	0.387	-4.788	0.104
3450.853	0.884	-4.783	0.110
3450.953	1.580	-4.788	0.094
3451.053	2.471	-4.797	0.098
3451.153	3.495	-4.796	0.116
3451.253	4.514	-4.779	0.126
3451.353	5.525	-4.786	0.111
3451.453	6.544	-4.781	0.102
3451.553	7.565	-4.801	0.100
3451.653	8.577	-4.786	0.111
3451.753	9.597	-4.796	0.103
3451.853	10.612	-4.803	0.082
3451.953	11.627	-4.802	0.105
3452.053	12.647	-4.778	0.119
3452.153	13.666	-4.782	0.122
3452.253	14.683	-4.810	0.097
3452.353	15.696	-4.806	0.084
3452.453	16.717	-4.795	0.103
3452.553	17.734	-4.790	0.120
3452.653	18.753	-4.802	0.095
3452.753	19.765	-4.819	0.086
3452.853	20.786	-4.781	0.106
3452.953	21.804	-4.767	0.126
3453.053	22.820	-4.790	0.109
3453.153	23.837	-4.808	0.090
3453.253	24.857	-4.804	0.092
3453.353	25.870	-4.781	0.109
3453.453	26.888	-4.782	0.099
3453.553	27.908	-4.812	0.087
3453.653	28.927	-4.810	0.075
3453.753	29.941	-4.549	0.085
3453.853	30.958	-1.708	-0.069
3453.953	31.978	-1.715	-0.089
3454.053	32.999	-1.723	-0.111
3454.153	34.010	-1.690	-0.106
3454.253	35.028	-1.664	-0.122
3454.353	36.043	-1.652	-0.116
3454.453	37.061	-1.647	-0.117
3454.553	38.081	-1.636	-0.111
3454.653	39.098	-1.620	-0.129
3454.753	40.113	-1.622	-0.131
3454.853	41.129	-1.634	-0.141
3454.953	42.146	-1.620	-0.129
3455.053	43.166	-1.604	-0.138
3455.153	44.183	-1.600	-0.144
3455.253	45.198	-1.592	-0.140
3455.353	46.214	-1.579	-0.133
3455.453	47.231	-1.572	-0.132
3455.553	48.248	-1.563	-0.151
3455.653	49.265	-1.577	-0.160
3455.753	50.281	-1.556	-0.147
3455.853	51.301	-1.544	-0.136
3455.953	52.319	-1.534	-0.153
3456.053	53.337	-1.538	-0.160
3456.153	54.352	-1.537	-0.148
3456.253	55.371	-1.513	-0.148
3456.353	56.390	-1.514	-0.144
3456.453	57.403	-1.519	-0.167
3456.553	58.422	-1.519	-0.174
3456.653	59.440	-1.484	-0.163
3456.753	60.454	-1.468	-0.160
3456.853	61.475	-1.462	-0.174
3456.953	62.492	-1.478	-0.171
3457.053	63.506	-1.459	-0.177
3457.153	64.527	-1.443	-0.174
3457.253	65.545	-1.452	-0.175
3457.353	66.561	-1.458	-0.194
3457.453	67.578	-1.454	-0.177
3457.553	68.596	-1.433	-0.188
3457.653	69.611	-1.408	-0.181
3457.753	70.630	-1.434	-0.194
3457.853	71.648	-1.424	-0.176
3457.953	72.662	-1.422	-0.193
3458.053	73.683	-1.411	-0.202
3458.153	74.699	-1.417	-0.202
3458.253	75.714	-1.411	-0.197
3458.353	76.731	-1.391	-0.174
3458.453	77.749	-1.397	-0.151
3458.553	78.766	-1.389	-0.150
3458.653	79.784	-1.389	-0.139
3458.753	80.801	-1.377	-0.118
3458.853	81.817	-1.381	-0.149
3458.953	82.837	-1.391	-0.164
3459.053	83.853	-1.376	-0.137
3459.153	84.869	-1.370	-0.130
3459.253	85.889	-1.353	-0.130
3459.353	86.904	-1.365	-0.154
3459.453	87.922	-1.363	-0.158
3459.553	88.940	-1.336	-0.128
3459.653	89.955	-1.345	-0.135
3459.753	90.971	-1.347	-0.163
3459.853	91.991	-1.350	-0.164
3459.953	93.009	-1.323	-0.140
3460.053	94.025	-1.320	-0.131
3460.153	95.045	-1.311	-0.146
3460.253	96.062	-1.338	-0.166
3460.353	97.078	-1.315	-0.149
3460.453	98.098	-1.307	-0.147
3460.553	99.116	-1.309	-0.152
3460.653	100.130	-1.315	-0.167
3460.753	101.147	-1.310	-0.153
3460.853	102.165	-1.285	-0.137
3460.953	103.181	-1.274	-0.142
3461.053	104.200	-1.285	-0.162
3461.153	105.218	-1.276	-0.148
3461.253	106.232	-1.271	-0.149
3461.353	107.247	-1.261	-0.158
3461.453	108.270	-1.274	-0.171
3461.553	109.285	-1.260	-0.154
3461.653	110.305	-1.245	-0.143
3461.753	111.320	-1.237	-0.141
3461.853	112.334	-1.249	-0.173
3461.953	113.354	-1.244	-0.163
3462.053	114.371	-1.227	-0.148
3462.153	115.388	-1.225	-0.146
3462.253	116.407	-1.239	-0.167
3462.353	117.425	-1.233	-0.183
3462.454	118.443	-1.192	-0.149
3462.553	119.456	-1.190	-0.132
3462.653	120.475	-1.201	-0.163
3462.753	121.490	-1.221	-0.189
3462.853	122.508	-1.184	-0.169
3462.953	123.525	-1.165	-0.141
3463.053	124.540	-1.182	-0.157
3463.153	125.561	-1.193	-0.184
3463.253	126.578	-1.180	-0.180
3463.353	127.595	-1.150	-0.133
3463.453	128.612	-1.146	-0.147
3463.553	129.628	-1.164	-0.181
3463.653	130.643	-1.163	-0.179
3463.753	131.664	-1.137	-0.164
3463.853	132.683	-1.125	-0.143
3463.953	133.695	-1.152	-0.172
3464.053	134.717	-1.136	-0.178
3464.153	135.735	-1.130	-0.155
3464.253	136.751	-1.097	-0.157
3464.353	137.769	-1.125	-0.172
3464.453	138.787	-1.123	-0.183
3464.553	139.804	-1.103	-0.173
3464.653	140.824	-1.092	-0.153
3464.753	141.838	-1.097	-0.166
3464.853	142.853	-1.103	-0.177
3464.953	143.874	-1.087	-0.156
3465.053	144.891	-1.066	-0.146
3465.153	145.906	-1.076	-0.175
3465.253	146.926	-1.086	-0.175
3465.353	147.940	-1.077	-0.175
3465.453	148.958	-1.048	-0.156
3465.553	149.975	-1.059	-0.167
3465.653	150.991	-1.072	-0.184
3465.753	152.008	-1.053	-0.167
3465.853	153.028	-1.028	-0.144
3465.953	154.045	-1.033	-0.151
3466.053	155.058	-1.057	-0.184
3466.153	156.079	-1.050	-0.186
3466.253	157.097	-1.013	-0.154
3466.353	158.112	-1.010	-0.146
3466.453	159.128	-1.031	-0.176
3466.553	160.147	-1.036	-0.179
3466.653	161.163	-0.995	-0.158
3466.753	162.180	-0.978	-0.143
3466.853	163.200	-1.000	-0.157
3466.953	164.213	-1.021	-0.178
3467.053	165.234	-0.995	-0.168
3467.153	166.250	-0.965	-0.138
3467.253	167.268	-0.974	-0.145
3467.353	168.285	-0.988	-0.154
3467.453	169.300	-0.989	-0.168
3467.553	170.322	-0.951	-0.148
