TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
216.144	0.000	-4.729	0.337
216.344	0.010	-4.777	0.317
216.543	0.548	-4.766	0.344
216.744	2.057	-4.745	0.337
216.943	3.959	-4.755	0.335
217.143	5.920	-4.753	0.326
217.343	7.964	-4.757	0.335
217.544	10.024	-4.762	0.320
217.743	12.035	-4.757	0.333
217.944	14.033	-4.754	0.323
218.043	15.140	-4.757	0.319
218.244	17.155	-4.732	0.338
218.444	19.199	-4.750	0.327
218.644	21.236	-4.751	0.345
218.844	23.269	-4.756	0.339
219.044	25.256	-4.757	0.324
219.244	27.272	-4.781	0.317
219.444	29.303	-4.747	0.338
219.643	31.483	-4.747	0.339
219.843	33.348	-4.769	0.300
219.944	34.460	-4.765	0.277
220.144	36.426	-2.276	0.098
220.344	38.449	-1.711	-0.075
220.444	39.554	-1.718	-0.084
220.644	41.561	-1.711	-0.070
220.843	43.626	-1.720	-0.101
221.044	45.638	-1.711	-0.103
221.244	47.613	-1.723	-0.124
221.344	48.721	-1.653	-0.079
221.544	50.792	-1.710	-0.129
221.744	52.770	-1.708	-0.120
221.944	54.734	-1.702	-0.126
222.144	56.781	-1.631	-0.135
222.344	58.873	-1.614	-0.159
222.544	60.897	-1.582	-0.178
222.744	62.977	-1.577	-0.197
222.943	64.946	-1.547	-0.208
223.143	67.013	-1.554	-0.231
223.344	68.952	-1.518	-0.229
223.443	70.058	-1.548	-0.300
223.643	72.089	-1.507	-0.241
223.843	74.067	-1.496	-0.281
223.943	75.215	-1.512	-0.284
224.144	77.203	-1.477	-0.277
224.343	79.296	-1.476	-0.284
224.544	81.268	-1.457	-0.300
224.744	83.231	-1.458	-0.256
224.843	84.380	-1.457	-0.190
225.043	86.304	-1.452	-0.236
225.244	88.408	-1.430	-0.223
225.444	90.374	-1.449	-0.248
225.644	92.465	-1.404	-0.236
225.843	94.410	-1.413	-0.260
225.944	95.510	-1.424	-0.249
226.143	97.435	-1.413	-0.237
226.343	99.561	-1.404	-0.236
226.543	101.622	-1.376	-0.243
226.744	103.568	-1.402	-0.264
226.943	105.612	-1.390	-0.261
227.143	107.707	-1.380	-0.256
227.344	109.684	-1.357	-0.269
227.544	111.817	-1.373	-0.253
227.744	113.719	-1.345	-0.251
227.843	114.806	-1.391	-0.293
228.044	116.818	-1.328	-0.251
228.244	118.898	-1.356	-0.278
228.444	120.939	-1.329	-0.264
228.644	122.885	-1.318	-0.278
228.743	123.979	-1.338	-0.257
228.944	126.042	-1.320	-0.295
229.143	128.004	-1.323	-0.255
229.343	130.048	-1.292	-0.285
229.544	132.037	-1.299	-0.277
229.643	133.197	-1.268	-0.297
229.843	135.102	-1.309	-0.298
230.043	137.210	-1.270	-0.270
230.244	139.347	-1.275	-0.301
230.444	141.261	-1.258	-0.287
230.644	143.283	-1.263	-0.297
230.844	145.291	-1.242	-0.278
231.044	147.300	-1.262	-0.306
231.144	148.399	-1.222	-0.278
231.343	150.387	-1.248	-0.306
231.544	152.365	-1.218	-0.278
231.744	154.492	-1.219	-0.301
231.943	156.483	-1.207	-0.292
232.143	158.651	-1.225	-0.297
232.343	160.553	-1.191	-0.274
232.443	161.679	-1.184	-0.281
232.643	163.628	-1.195	-0.325
232.843	165.673	-1.182	-0.288
233.044	167.635	-1.195	-0.312
233.144	168.743	-1.143	-0.260
233.344	170.697	-1.175	-0.323
233.544	172.871	-1.164	-0.312
233.744	174.824	-1.156	-0.295
233.944	176.882	-1.139	-0.296
234.144	178.945	-1.132	-0.312
234.344	180.971	-1.126	-0.308
234.544	182.966	-1.130	-0.315
234.744	184.918	-1.119	-0.309
234.944	187.163	-1.115	-0.323
235.144	189.015	-1.100	-0.304
235.343	191.021	-1.106	-0.304
235.544	193.132	-1.061	-0.304
235.744	195.085	-1.089	-0.330
235.843	196.236	-1.088	-0.311
236.043	198.232	-1.059	-0.315
236.243	200.201	-1.081	-0.318
236.444	202.210	-1.042	-0.321
236.644	204.339	-1.065	-0.306
236.843	206.297	-1.032	-0.322
237.044	208.444	-1.025	-0.315
237.244	210.411	-1.030	-0.330
237.444	212.584	-1.039	-0.324
237.644	214.550	-1.009	-0.320
237.844	216.503	-1.006	-0.328
238.044	218.598	-0.996	-0.327
238.243	220.600	-1.010	-0.335
238.443	222.604	-0.967	-0.316
238.644	224.719	-0.978	-0.335
238.844	226.635	-0.979	-0.332
239.044	228.656	-0.964	-0.316
239.144	229.765	-0.965	-0.351
239.344	231.730	-0.931	-0.323
239.544	233.751	-0.944	-0.328
239.744	235.876	-0.946	-0.364
239.944	237.952	-0.938	-0.320
240.144	239.900	-0.914	-0.355
240.344	241.945	-0.904	-0.330
240.544	244.078	-0.931	-0.356
240.744	246.008	-0.877	-0.309
240.944	248.015	-0.903	-0.367
241.144	250.020	-0.887	-0.350
