TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
1090.069	0.000	-4.991	-0.073
1090.169	0.097	-4.997	-0.092
1090.269	0.409	-4.986	-0.079
1090.369	0.915	-4.967	-0.066
1090.469	1.622	-4.974	-0.080
1090.569	2.527	-4.997	-0.091
1090.669	3.547	-4.996	-0.071
1090.769	4.563	-4.976	-0.069
1090.869	5.580	-4.977	-0.070
1090.969	6.595	-4.997	-0.079
1091.069	7.617	-4.975	-0.061
1091.169	8.632	-4.973	-0.053
1091.269	9.651	-4.979	-0.083
1091.369	10.666	-5.000	-0.081
1091.469	11.683	-4.982	-0.062
1091.569	12.704	-4.972	-0.069
1091.669	13.721	-4.994	-0.079
1091.769	14.734	-4.988	-0.068
1091.869	15.752	-4.973	-0.060
1091.969	16.767	-4.972	-0.068
1092.069	17.785	-5.000	-0.086
1092.169	18.805	-4.996	-0.072
1092.269	19.822	-4.976	-0.053
1092.369	20.838	-4.972	-0.063
1092.469	21.858	-4.991	-0.078
1092.569	22.878	-4.979	-0.073
1092.669	23.890	-4.974	-0.060
1092.769	24.910	-4.982	-0.081
1092.869	25.928	-4.998	-0.088
1092.969	26.945	-4.971	-0.053
1093.069	27.960	-4.964	-0.056
1093.169	28.980	-4.983	-0.074
1093.269	29.993	-5.000	-0.084
1093.369	31.013	-4.976	-0.059
1093.469	32.030	-4.972	-0.066
1093.569	33.043	-4.986	-0.083
1093.669	34.062	-4.988	-0.066
1093.769	35.080	-4.977	-0.054
1093.869	36.095	-4.966	-0.069
1093.969	37.119	-4.990	-0.091
1094.069	38.139	-4.984	-0.076
1094.169	39.149	-4.971	-0.052
1094.269	40.169	-4.973	-0.074
1094.369	41.187	-4.993	-0.082
1094.469	42.203	-4.985	-0.053
1094.569	43.219	-4.975	-0.056
1094.669	44.238	-4.987	-0.081
1094.769	45.250	-4.995	-0.083
1094.869	46.271	-4.981	-0.057
1094.969	47.288	-4.964	-0.057
1095.069	48.302	-4.982	-0.077
1095.169	49.319	-4.990	-0.076
1095.269	50.339	-4.980	-0.063
1095.369	51.352	-4.973	-0.064
1095.469	52.374	-4.986	-0.092
1095.569	53.389	-4.987	-0.068
1095.669	54.402	-4.969	-0.053
1095.769	55.423	-4.979	-0.070
1095.869	56.441	-5.001	-0.088
1095.969	57.461	-4.989	-0.066
1096.069	58.476	-4.981	-0.063
1096.169	59.494	-4.972	-0.063
1096.269	60.511	-4.995	-0.074
1096.369	61.529	-4.985	-0.064
1096.469	62.546	-4.976	-0.063
1096.569	63.564	-4.978	-0.085
1096.669	64.578	-4.995	-0.081
1096.769	65.597	-4.976	-0.069
1096.869	66.615	-4.968	-0.056
1096.969	67.635	-4.986	-0.077
1097.069	68.650	-4.976	-0.077
1097.169	69.665	-4.978	-0.057
1097.269	70.684	-4.975	-0.066
1097.369	71.703	-4.987	-0.090
1097.469	72.717	-4.993	-0.079
1097.569	73.737	-4.968	-0.053
1097.669	74.750	-4.969	-0.062
1097.769	75.769	-4.985	-0.083
1097.869	76.787	-4.998	-0.072
