TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
600.101	0.000	-4.822	0.062
600.301	0.089	-4.807	0.097
600.502	0.906	-4.806	0.077
600.701	2.557	-4.824	0.067
600.901	4.609	-4.809	0.078
601.101	6.579	-4.804	0.084
601.301	8.573	-4.807	0.059
601.501	10.598	-4.818	0.071
601.701	12.627	-4.809	0.082
601.901	14.639	-4.818	0.079
602.001	15.746	-4.828	0.057
602.201	17.837	-4.797	0.084
602.401	19.816	-4.815	0.082
602.601	21.765	-4.826	0.057
602.802	23.909	-4.816	0.071
603.001	25.957	-4.800	0.083
603.201	27.946	-4.819	0.058
603.401	29.921	-4.806	0.072
603.601	32.077	-4.808	0.068
603.801	34.021	-4.779	0.056
604.001	35.992	-4.821	0.025
604.201	38.153	-3.907	0.060
604.401	40.132	-2.483	0.124
604.601	42.248	-2.271	0.052
604.801	44.149	-2.125	0.076
605.001	46.201	-2.184	0.017
605.201	48.387	-2.223	0.048
605.401	50.323	-2.200	0.022
605.601	52.315	-2.156	0.007
605.801	54.394	-2.066	-0.019
606.001	56.374	-1.805	0.024
606.201	58.524	-1.966	-0.047
606.402	60.406	-2.019	-0.036
606.501	61.515	-2.032	-0.027
606.701	63.495	-1.947	-0.059
606.902	65.481	-1.685	-0.074
607.001	66.593	-1.422	-0.126
607.201	68.559	-0.972	-0.087
607.301	69.658	-0.466	-0.092
607.501	71.606	-0.790	-0.122
607.701	73.618	-1.190	-0.097
607.801	74.739	-1.401	-0.117
608.001	76.753	-1.644	-0.130
608.201	78.805	-1.502	-0.141
608.401	80.772	-1.474	-0.138
608.601	82.918	-1.505	-0.155
608.801	84.896	-1.376	-0.141
609.001	86.927	-1.524	-0.049
609.201	88.924	-1.558	-0.073
609.401	90.970	-1.685	-0.066
609.602	93.014	-1.624	-0.075
609.801	95.003	-1.628	-0.089
610.002	97.017	-1.473	-0.086
610.201	99.204	-1.295	-0.091
610.401	101.145	-1.330	-0.108
610.601	103.234	-1.512	-0.079
610.801	105.216	-1.519	-0.116
611.001	107.353	-1.774	-0.116
611.201	109.249	-1.763	-0.107
611.401	111.348	-1.823	-0.112
611.601	113.402	-1.791	-0.129
611.801	115.384	-1.805	-0.141
612.001	117.420	-1.841	-0.113
612.201	119.420	-1.847	-0.132
612.401	121.538	-1.832	-0.140
612.601	123.657	-1.813	-0.149
612.801	125.655	-1.748	-0.120
613.001	127.630	-1.758	-0.148
613.201	129.604	-1.733	-0.144
613.401	131.613	-1.741	-0.138
613.501	132.791	-1.735	-0.145
613.701	134.716	-1.780	-0.175
613.901	136.721	-1.706	-0.134
614.001	137.869	-1.722	-0.160
614.201	139.753	-1.732	-0.156
614.301	140.859	-1.685	-0.162
614.501	142.892	-1.708	-0.163
614.702	144.931	-1.692	-0.147
614.902	146.935	-1.728	-0.155
615.101	148.891	-1.735	-0.171
615.201	149.966	-1.747	-0.151
615.302	151.091	-1.823	-0.173
615.502	152.970	-1.775	-0.149
615.702	155.100	-1.792	-0.152
615.901	157.049	-1.799	-0.182
616.102	159.176	-1.818	-0.165
616.301	161.211	-1.807	-0.158
616.501	163.180	-1.842	-0.163
616.701	165.178	-1.836	-0.166
616.901	167.204	-1.859	-0.173
617.101	169.290	-1.818	-0.153
617.302	171.477	-1.851	-0.194
617.501	173.399	-1.808	-0.166
617.701	175.417	-1.816	-0.167
617.902	177.376	-1.791	-0.182
