TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
87.876	0.001	-4.879	0.365
88.076	0.347	-4.852	0.382
88.276	1.489	-4.894	0.342
88.475	3.435	-4.886	0.386
88.676	5.457	-4.863	0.390
88.876	7.445	-4.867	0.381
89.076	9.632	-4.892	0.378
89.275	11.530	-4.852	0.389
89.475	13.495	-4.878	0.363
89.576	14.648	-4.882	0.375
89.776	16.678	-4.880	0.377
89.976	18.654	-4.885	0.377
90.175	20.811	-4.872	0.377
90.376	22.792	-4.883	0.373
90.575	24.748	-4.864	0.390
90.776	26.794	-4.872	0.363
90.975	28.795	-4.877	0.373
91.176	30.981	-4.909	0.357
91.375	32.958	-4.843	0.376
91.576	35.042	-4.875	0.319
91.776	37.010	-4.139	0.077
91.976	39.058	-4.153	-0.011
92.175	41.057	-4.139	-0.045
92.376	43.119	-4.129	-0.060
92.576	45.121	-4.095	-0.080
92.776	47.175	-4.063	-0.093
92.976	49.170	-4.039	-0.124
93.176	51.183	-4.017	-0.103
93.375	53.275	-3.976	-0.112
93.575	55.254	-3.977	-0.135
93.776	57.378	-3.968	-0.152
93.976	59.392	-3.940	-0.154
94.176	61.349	-3.924	-0.188
94.376	63.425	-3.909	-0.171
94.576	65.404	-3.882	-0.199
94.676	66.575	-3.916	-0.234
94.876	68.470	-3.871	-0.204
95.076	70.607	-3.858	-0.203
95.276	72.633	-3.828	-0.237
95.476	74.654	-3.840	-0.246
95.675	76.714	-3.802	-0.233
95.875	78.721	-3.802	-0.254
96.076	80.714	-3.780	-0.259
96.275	82.686	-3.778	-0.276
96.476	84.768	-3.755	-0.227
96.675	86.741	-3.766	-0.245
96.775	87.826	-3.704	-0.207
96.975	89.811	-3.733	-0.235
97.176	91.963	-3.704	-0.244
97.375	93.960	-3.709	-0.249
97.576	95.922	-3.681	-0.240
97.776	98.121	-3.673	-0.262
97.976	100.046	-3.665	-0.262
98.175	102.048	-3.665	-0.254
98.376	104.107	-3.624	-0.262
98.575	106.167	-3.621	-0.279
98.776	108.200	-3.617	-0.286
98.975	110.218	-3.608	-0.271
99.175	112.260	-3.580	-0.285
99.375	114.262	-3.583	-0.287
99.576	116.306	-3.565	-0.280
99.776	118.354	-3.524	-0.287
99.975	120.374	-3.530	-0.298
100.176	122.398	-3.525	-0.297
100.376	124.576	-3.483	-0.270
100.575	126.538	-3.489	-0.312
100.776	128.555	-3.486	-0.319
100.976	130.475	-3.469	-0.300
101.176	132.678	-3.433	-0.309
101.376	134.682	-3.440	-0.313
101.576	136.645	-3.404	-0.300
101.775	138.749	-3.385	-0.316
101.976	140.674	-3.397	-0.325
102.176	142.698	-3.383	-0.312
102.376	144.761	-3.361	-0.315
102.576	146.766	-3.337	-0.320
102.776	148.820	-3.332	-0.318
102.975	150.927	-3.318	-0.323
103.175	152.897	-3.288	-0.325
103.375	155.012	-3.288	-0.330
103.575	157.001	-3.269	-0.309
103.776	158.980	-3.243	-0.325
103.976	161.072	-3.241	-0.341
104.176	163.061	-3.246	-0.329
104.276	164.209	-3.180	-0.304
104.476	166.080	-3.204	-0.335
104.576	167.189	-3.196	-0.331
104.776	169.201	-3.191	-0.328
104.976	171.241	-3.173	-0.322
105.175	173.304	-3.154	-0.339
105.375	175.234	-3.144	-0.322
105.475	176.341	-3.127	-0.324
105.675	178.340	-3.130	-0.332
105.875	180.365	-3.093	-0.332
106.075	182.424	-3.103	-0.318
106.276	184.437	-3.056	-0.325
106.475	186.493	-3.060	-0.343
106.676	188.640	-3.063	-0.346
106.876	190.615	-3.032	-0.316
107.076	192.577	-3.005	-0.320
107.276	194.600	-2.998	-0.340
107.476	196.669	-2.981	-0.323
107.675	198.649	-2.975	-0.327
107.775	199.760	-2.949	-0.323
107.975	201.743	-2.962	-0.361
108.175	203.862	-2.947	-0.321
108.375	205.880	-2.908	-0.328
108.575	207.835	-2.888	-0.335
108.775	209.914	-2.896	-0.341
108.975	211.877	-2.858	-0.316
109.075	213.017	-2.867	-0.347
109.276	215.018	-2.844	-0.342
109.476	216.994	-2.846	-0.336
109.676	218.988	-2.814	-0.317
109.876	221.146	-2.806	-0.350
110.075	223.254	-2.790	-0.347
110.276	225.153	-2.773	-0.315
110.475	227.113	-2.752	-0.341
110.675	229.332	-2.754	-0.342
