TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
12.282	0.000	-4.712	0.054
12.482	0.014	-4.690	0.050
12.682	0.653	-4.715	0.048
12.882	2.054	-4.682	0.048
13.082	3.985	-4.688	0.051
13.282	6.070	-4.689	0.057
13.482	8.053	-4.732	0.017
13.682	10.068	-4.679	0.057
13.782	11.228	-4.717	0.007
13.982	13.151	-4.702	0.056
14.182	15.153	-4.697	0.025
14.382	17.199	-4.688	0.050
14.582	19.254	-4.715	0.021
14.782	21.249	-4.685	0.059
14.982	23.487	-4.707	0.023
15.182	25.479	-4.675	0.056
15.382	27.434	-4.714	0.006
15.582	29.464	-4.665	0.042
15.782	31.464	-4.692	0.023
15.882	32.551	-4.692	-0.004
16.082	34.565	-4.671	-0.003
16.282	36.607	-4.675	-0.026
16.482	38.604	-3.697	0.042
16.682	40.574	-3.686	0.085
16.782	41.717	-3.693	0.015
16.982	43.740	-3.716	0.031
17.182	45.661	-3.704	0.034
17.382	47.895	-3.683	0.016
17.582	49.822	-3.680	-0.008
17.782	51.788	-3.659	-0.007
17.982	53.856	-3.638	-0.011
18.182	55.932	-3.620	-0.039
18.382	58.058	-3.611	-0.056
18.582	60.049	-3.611	-0.060
18.782	61.946	-3.579	-0.079
18.982	63.994	-3.559	-0.074
19.182	66.018	-3.573	-0.107
19.282	67.129	-3.535	-0.094
19.482	69.072	-3.557	-0.118
19.682	71.216	-3.545	-0.105
19.882	73.178	-3.523	-0.128
20.082	75.220	-3.516	-0.126
20.282	77.216	-3.507	-0.150
20.482	79.385	-3.504	-0.155
20.682	81.397	-3.500	-0.166
20.882	83.371	-3.460	-0.149
21.082	85.457	-3.500	-0.182
21.282	87.468	-3.450	-0.110
21.482	89.480	-3.476	-0.113
21.682	91.442	-3.442	-0.119
21.882	93.593	-3.446	-0.126
22.082	95.571	-3.450	-0.142
22.282	97.552	-3.421	-0.108
22.382	98.705	-3.431	-0.145
22.582	100.682	-3.425	-0.143
22.782	102.753	-3.397	-0.130
22.982	104.766	-3.418	-0.159
23.182	106.720	-3.383	-0.137
23.382	108.801	-3.398	-0.160
23.582	110.871	-3.353	-0.154
23.782	112.882	-3.390	-0.156
23.982	115.037	-3.369	-0.176
24.182	116.894	-3.360	-0.156
24.382	118.903	-3.329	-0.178
24.582	121.134	-3.364	-0.180
24.782	123.101	-3.320	-0.190
24.982	125.064	-3.320	-0.171
25.182	127.185	-3.307	-0.193
25.382	129.120	-3.350	-0.205
25.582	131.271	-3.294	-0.192
25.782	133.143	-3.288	-0.177
25.882	134.251	-3.317	-0.224
26.082	136.219	-3.268	-0.207
26.182	137.303	-3.263	-0.179
26.382	139.375	-3.266	-0.207
26.582	141.335	-3.246	-0.192
26.783	143.317	-3.263	-0.232
26.883	144.467	-3.273	-0.215
27.083	146.437	-3.221	-0.191
27.283	148.535	-3.244	-0.237
27.483	150.500	-3.218	-0.201
27.682	152.579	-3.217	-0.208
27.882	154.616	-3.192	-0.207
28.082	156.562	-3.209	-0.234
28.282	158.723	-3.192	-0.210
28.482	160.649	-3.174	-0.213
28.682	162.636	-3.186	-0.230
28.882	164.704	-3.172	-0.231
