TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
426.614	0.000	-4.661	0.222
426.814	0.001	-4.629	0.279
427.014	0.525	-4.657	0.262
427.213	1.735	-4.664	0.273
427.313	2.764	-4.660	0.296
427.514	4.727	-4.649	0.273
427.714	6.875	-4.657	0.287
427.914	8.893	-4.646	0.268
428.114	10.869	-4.675	0.260
428.314	12.955	-4.644	0.289
428.514	14.939	-4.647	0.297
428.714	16.911	-4.647	0.272
428.914	19.009	-4.672	0.273
429.114	20.982	-4.625	0.294
429.214	22.148	-4.640	0.288
429.414	24.170	-4.681	0.273
429.614	26.152	-4.657	0.306
429.814	28.161	-4.653	0.289
430.014	30.147	-4.647	0.287
430.114	31.227	-4.676	0.283
430.313	33.238	-4.635	0.268
430.413	34.317	-4.676	0.214
430.614	36.347	-4.655	0.237
430.814	38.268	-2.659	0.157
430.914	39.340	-2.287	0.045
431.114	41.347	-2.289	0.058
431.314	43.453	-2.320	0.034
431.514	45.512	-2.309	0.030
431.714	47.471	-2.323	-0.023
431.814	48.599	-2.256	0.010
432.014	50.604	-2.240	-0.001
432.214	52.569	-2.224	-0.020
432.414	54.738	-2.210	-0.032
432.614	56.740	-2.179	-0.017
432.814	58.646	-2.150	-0.062
433.014	60.688	-2.126	-0.055
433.214	62.771	-2.101	-0.084
433.413	64.743	-2.080	-0.039
433.513	65.869	-2.053	-0.069
433.714	67.853	-2.052	-0.081
433.914	69.934	-2.038	-0.101
434.114	71.947	-2.036	-0.115
434.314	73.942	-1.985	-0.101
434.514	76.017	-1.990	-0.149
434.714	78.019	-1.971	-0.130
434.914	79.985	-1.968	-0.136
435.114	82.069	-1.919	-0.133
435.314	84.072	-1.949	-0.141
435.414	85.224	-1.946	-0.077
435.614	87.106	-1.899	-0.069
435.714	88.222	-1.934	-0.070
435.914	90.257	-1.907	-0.055
436.114	92.301	-1.874	-0.069
436.314	94.287	-1.895	-0.074
436.513	96.250	-1.886	-0.068
436.613	97.356	-1.861	-0.041
436.814	99.312	-1.865	-0.098
437.014	101.408	-1.871	-0.071
437.214	103.412	-1.851	-0.085
437.314	104.548	-1.816	-0.081
437.514	106.435	-1.855	-0.090
437.613	107.561	-1.843	-0.073
437.814	109.528	-1.819	-0.083
438.014	111.659	-1.815	-0.108
438.214	113.613	-1.823	-0.092
438.414	115.627	-1.785	-0.083
438.614	117.612	-1.791	-0.100
438.714	118.720	-1.783	-0.097
438.914	120.716	-1.769	-0.090
439.114	122.829	-1.753	-0.098
439.314	124.731	-1.768	-0.116
439.514	126.819	-1.755	-0.078
439.713	128.811	-1.743	-0.110
439.914	130.948	-1.729	-0.107
440.114	132.974	-1.720	-0.103
440.314	134.976	-1.695	-0.098
440.514	137.097	-1.722	-0.133
440.714	139.119	-1.694	-0.090
440.914	141.080	-1.682	-0.110
441.114	143.193	-1.677	-0.111
441.314	145.198	-1.682	-0.112
441.514	147.174	-1.652	-0.116
441.714	149.258	-1.646	-0.114
441.914	151.259	-1.640	-0.101
442.114	153.226	-1.611	-0.125
442.314	155.321	-1.628	-0.129
442.514	157.305	-1.627	-0.119
